ticker,side,setups,rth_open,last_px,rth_high,rth_low,orb_high,orb_low,vwap,gap_pct,chg_pct_full,rth_vol,rel_vol,prev_close,est_entry,stop,target,shares,score
ONEG,LONG,ORB-LONG,8.5,8.65,8.84,8.48,8.6,8.5,8.5264,2.29,4.09,2775133,3.85,8.31,8.65,8.5203,8.9095,770,2.24
GLND,LONG,ORB-LONG,3.22,3.3299,3.52,3.09,3.29,3.09,3.2962,0.63,4.06,2780817,2.21,3.2,3.3299,3.28,3.4298,2002,2.6792
LRN,LONG,ORB-LONG,90.97,95.865,99.83,88.0,94.92,88.0,94.48,-1.74,3.55,1680463,26.24,92.58,95.865,94.427,98.7409,69,26.1229
NN,LONG,ORB-LONG,16.99,17.58,17.8,16.6,17.21,16.6544,17.4415,0.12,3.59,1393343,1.39,16.97,17.58,17.3163,18.1074,379,2.9946
OBE,LONG,ORB-LONG,13.55,13.83,13.93,13.17,13.58,13.17,13.6933,1.42,3.52,1065912,1.8,13.36,13.83,13.6226,14.2449,482,3.3072
EFOR,LONG,ORB-LONG,22.0,22.85,23.1298,21.9218,22.46,21.9218,22.6456,-0.54,3.3,1737325,2.6,22.12,22.85,22.5073,23.5355,291,4.5093
AXTI,SHORT,FAILED-GAP-SHORT,70.85,70.785,76.39,69.3,75.12,69.3,72.9992,3.11,3.02,7485941,1.75,68.71,70.785,71.8468,68.6614,94,3.823
DKI,SHORT,ORB-SHORT|FAILED-GAP-SHORT,0.5261,0.4927,0.5533,0.481,0.5375,0.5112,0.5273,9.83,2.86,1112837,0.78,0.479,0.4927,0.5001,0.4779,13530,5.3694
TPET,LONG,ORB-LONG,0.5136,0.53,0.5359,0.4941,0.528,0.5031,0.5166,-0.02,3.17,5216135,6.98,0.5137,0.529998,0.522,0.5459,12578,2.6432
DOCN,LONG,ORB-LONG,96.73,97.3,98.89,92.01,96.99,92.01,96.2589,2.49,3.09,1278747,3.29,94.38,97.3,95.8405,100.219,68,1.0529
VIRT,SHORT,FAILED-GAP-SHORT,51.39,50.265,52.15,48.92,51.39,48.92,50.3673,5.07,2.77,1230592,15.46,48.91,50.265,51.019,48.757,132,54.8773
CWH,LONG,ORB-LONG,6.77,6.995,7.005,6.675,6.86,6.74,6.8274,-0.59,2.72,2317152,6.08,6.81,6.995,6.8901,7.2049,953,11.9739
STIM,LONG,ORB-LONG,1.66,1.675,1.7099,1.61,1.665,1.61,1.6742,1.22,2.13,1060091,2.32,1.64,1.675,1.6499,1.7253,3980,1.3912
AVT,SHORT,FAILED-GAP-SHORT,82.45,79.805,82.505,77.31,82.505,77.31,80.073,5.33,1.95,1685949,12.17,78.28,79.805,81.0021,77.4109,83,45.3876
NBIX,LONG,ORB-LONG,126.485,130.175,130.99,126.485,129.51,126.485,129.6073,-1.28,1.6,1054885,17.55,128.12,130.175,128.2224,134.0803,51,9.0107
OPFI,SHORT,ORB-SHORT|FAILED-GAP-SHORT,9.81,9.15,9.89,9.11,9.89,9.27,9.4714,8.88,1.55,976234,27.1,9.01,9.15,9.2873,8.8755,728,168.419
ACHC,LONG,ORB-LONG,27.58,27.96,28.43,27.05,27.76,27.05,27.8684,0.0,1.38,1512152,5.36,27.58,27.96,27.5406,28.7988,238,3.8581
AXIL,SHORT,FAILED-GAP-SHORT,7.0,6.84,7.51,6.25,7.51,6.75,6.9036,3.7,1.33,1158289,1689.45,6.75,6.84,6.9426,6.6348,974,4380.0634
FIVN,LONG,ORB-LONG,16.57,16.865,16.93,16.35,16.84,16.35,16.7762,-1.13,0.63,1017882,2.52,16.76,16.865,16.612,17.371,395,0.3746
ASAN,LONG,ORB-LONG,6.27,6.365,6.385,6.185,6.34,6.185,6.2867,-0.95,0.55,2288928,1.72,6.33,6.365,6.2695,6.556,1047,0.6767
NBP,SHORT,ORB-SHORT|FAILED-GAP-SHORT,2.67,2.395,2.67,2.37,2.67,2.51,2.4295,11.72,0.21,2761535,33.98,2.39,2.395,2.4309,2.3232,2783,278.6735
VIA,LONG,ORB-LONG,15.17,15.42,15.425,14.42,15.17,14.45,14.7534,-1.49,0.13,1206799,31.88,15.4,15.42,15.1887,15.8826,432,52.5357
INV,SHORT,ORB-SHORT,6.36,6.27,6.72,6.13,6.72,6.29,6.4072,0.95,-0.48,1057805,1.35,6.3,6.27,6.364,6.0819,1063,0.43
EDSA,SHORT,ORB-SHORT,14.54,14.36,18.18,13.65,17.0699,14.44,16.0255,1.96,0.7,1918518,3.76,14.26,14.36,14.5754,13.9292,464,2.0828
PB,SHORT,ORB-SHORT,70.63,69.025,70.94,67.85,70.63,69.295,69.7244,1.66,-0.65,1011124,16.09,69.48,69.025,70.0604,66.9543,96,6.269
ULCC,LONG,ORB-LONG,3.71,3.765,3.8199,3.67,3.74,3.67,3.7441,-2.11,-0.66,2410958,2.19,3.79,3.765,3.7085,3.878,1770,1.4615
FORM,SHORT,ORB-SHORT,137.46,133.56,140.0,132.24,140.0,134.37,135.3575,2.44,-0.46,1661698,3.06,134.18,133.56,135.5634,129.5532,49,1.8459
WOLF,SHORT,ORB-SHORT,26.4,25.6,27.5,25.27,27.08,26.3,26.3507,2.13,-0.97,1656520,0.94,25.85,25.6,25.984,24.832,260,2.4975
