ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,total_genesis,vol_ratio_today,vol_ratio_3d,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,stop_adjusted,vol_ratio,vol_hot,news
CAR,Long,PULLBACK,T1-STRONG_LONG,100,381.66,368.8231,407.3338,,2.0,12.8369,411.56,7.3,WAITING,3,3,"15m,1m,5m",381.66,380.23,HIGHWAY,EXCITED,19096649.0,2.6,2.1,4.0,82.9,87.0,8.0,10.14,LOW,0.37,361.53,371.01,352.05,-5.1,PREMIUM,PREMIUM,7661,23,5943,99.9,A,,,,
SHLS,Long,PULLBACK,T1-STRONG_LONG,94,6.76,6.3826,8.33,,4.2,0.3774,7.22,6.4,APPROACH,1,1,1d,6.76,6.58,HIGHWAY,EXCITED,57310884.0,1.6,1.3,0.0,10.1,20.0,8.0,166.41,HIGH,0.03,6.73,6.67,6.79,1.8,PREMIUM,DISCOUNT,265,5,37,15.4,A,,,,
LZ,Long,BOUNCE,T2-LONG,85,6.01,5.7327,6.5646,,2.0,0.2773,6.01,1.2,CLOSE,4,4,"10m,1d,30m,5m",5.94,5.91,OPEN_ROAD,EXCITED,16196803.0,2.5,1.6,1.0,18.9,19.0,8.0,117.6,HIGH,0.04,5.925,5.91,5.94,0.5,PREMIUM,MID,10,1,10,2.5,D,,,,
KSS,Long,BOUNCE,T3-LONG_WATCH,83,13.62,13.0562,14.7476,,2.0,0.5638,13.62,0.4,CLOSE,2,2,"1d,4h",13.56,13.46,OPEN_ROAD,EXCITED,51474270.0,1.4,1.2,0.0,7.3,34.0,8.0,110.61,HIGH,0.04,13.51,13.46,13.56,0.7,PREMIUM,MID,436,8,44,2.2,C,,,,
CVNA,Long,BOUNCE,T1-STRONG_LONG,100,374.21,348.9963,425.21,,2.0,25.2137,374.21,2.5,CLOSE,7,7,"10m,15m,1d,1h,30m,4h,5m",365.0,359.79,HIGHWAY,EXCITED,2694827878.0,1.6,1.0,0.0,21.4,15.0,8.0,139.99,HIGH,0.02,362.135,359.27,365.0,1.6,PREMIUM,MID,5978,4,968,13.6,A,,,,
PONY,Long,BREAKOUT,T1-STRONG_LONG,92,10.41,9.7485,11.733,,2.0,0.6615,10.36,0.0,INSIDE,6,6,,,,OPEN_ROAD,EXCITED,,,,,,,,,MEGA,0.02,10.26,10.04,10.48,4.4,PREMIUM,MID,503,3,44,5.1,B,False,1.0,True,
PCT,Long,PULLBACK,T2-LONG,71,6.21,6.0043,7.5,,6.3,0.2057,6.73,7.7,WAITING,4,4,"15m,1h,30m,4h",6.21,6.19,HIGHWAY,EXCITED,7538860.0,1.0,0.8,0.0,30.2,23.0,8.0,141.59,HIGH,0.03,6.205,6.2,6.21,0.2,FLAT,FLAT,20,2,18,11.4,D,,,,
SG,Long,PULLBACK,T1-STRONG_LONG,83,5.79,5.5969,7.7,,9.9,0.1931,6.2,6.6,APPROACH,6,6,"10m,15m,1h,30m,4h,5m",5.79,5.77,HIGHWAY,EXCITED,11292452.0,1.3,1.6,0.0,13.4,21.0,8.0,96.61,HIGH,0.04,5.77,5.74,5.8,1.0,PREMIUM,PREMIUM,38,4,29,24.2,C,,,,
ASST,Long,BOUNCE,T1-STRONG_LONG,86,12.43,11.2714,14.7472,,2.0,1.1586,12.43,2.6,CLOSE,7,7,"10m,15m,1d,1h,30m,4h,5m",12.11,11.62,OPEN_ROAD,EXCITED,453380536.0,1.5,1.3,0.0,38.5,52.0,8.0,56.5,HIGH,0.06,11.9,11.58,12.22,5.5,PREMIUM,MID,1068,7,603,4.5,B,,,,
UPST,Long,PULLBACK,T1-STRONG_LONG,79,29.53,27.2861,34.0178,,2.0,2.2439,29.53,3.3,APPROACH,7,7,"10m,15m,1d,1h,30m,4h,5m",28.55,28.13,HIGHWAY,EXCITED,256319112.0,1.1,0.9,0.0,12.1,31.0,8.0,80.18,HIGH,0.04,28.425,28.06,28.79,2.6,PREMIUM,MID,443,2,373,2.4,C,,,,
BLDP,Long,PULLBACK,T1-STRONG_LONG,75,2.78,2.6384,3.0632,,2.0,0.1416,2.94,5.4,APPROACH,6,6,"10m,15m,1h,30m,4h,5m",2.78,2.72,HIGHWAY,EXCITED,15438952.0,1.3,1.1,0.0,17.9,40.0,8.0,300.59,MEGA,0.01,2.745,2.7,2.79,3.3,PREMIUM,MID,159,13,109,3.1,C,,,,
KD,Long,BREAKOUT,T3-LONG_WATCH,25,13.16,12.6779,24.81,,24.2,0.4821,13.16,0.0,INSIDE,1,1,,,,MIXED,EXCITED,,,,,,,,,MEGA,0.01,13.115,13.07,13.16,0.7,PREMIUM,MID,32,2,32,88.5,C,False,1.5,True,
TPG,Long,PULLBACK,T1-STRONG_LONG,83,40.06,38.3247,43.67,,2.1,1.7353,42.38,5.5,APPROACH,7,7,"10m,15m,1d,1h,30m,4h,5m",40.06,39.51,HIGHWAY,EXCITED,311196431.0,1.4,1.2,0.0,15.4,31.0,8.0,115.44,HIGH,0.02,39.74,39.42,40.06,1.6,PREMIUM,MID,435,2,423,3.0,C,,,,
TIC,Long,PULLBACK,T1-STRONG_LONG,84,7.3,7.0422,8.5,,4.7,0.2578,7.93,7.9,WAITING,7,7,"10m,15m,1d,1h,30m,4h,5m",7.3,7.26,HIGHWAY,EXCITED,50036212.0,1.6,1.2,0.0,15.2,20.0,8.0,107.09,HIGH,0.03,7.275,7.25,7.3,0.7,PREMIUM,MID,54,2,32,7.2,C,,,,
CLS,Long,BOUNCE,T1-STRONG_LONG,100,384.35,354.4962,444.0576,,2.0,29.8538,384.35,2.5,CLOSE,7,7,"10m,15m,1d,1h,30m,4h,5m",374.9,365.46,HIGHWAY,EXCITED,3352794828.0,1.8,1.6,0.0,28.8,34.0,8.0,113.64,HIGH,0.02,370.18,365.46,374.9,2.6,PREMIUM,MID,19901,13,6957,99.9,A,,,,
TNGX,Long,PULLBACK,T1-STRONG_LONG,100,21.85,20.8938,23.7624,,2.0,0.9562,24.06,9.2,WAITING,3,3,"1d,1h,4h",21.85,21.54,HIGHWAY,EXCITED,133636122.0,1.3,1.1,0.0,22.7,24.0,8.0,67.74,HIGH,0.04,21.705,21.56,21.85,1.3,PREMIUM,MID,475,13,180,99.9,A,,,,
PGY,Long,BOUNCE,T1-STRONG_LONG,94,13.01,12.125,14.78,,2.0,0.885,13.01,2.4,CLOSE,7,7,"10m,15m,1d,1h,30m,4h,5m",12.7,12.5,HIGHWAY,EXCITED,115250120.0,1.3,0.9,0.0,18.0,34.0,8.0,62.71,HIGH,0.04,12.635,12.48,12.79,2.5,PREMIUM,MID,395,5,194,10.5,A,,,,
VSTM,Long,PULLBACK,T1-STRONG_LONG,85,5.69,5.4902,6.36,,3.4,0.1998,6.14,7.3,WAITING,4,4,"10m,15m,1d,30m",5.69,5.66,HIGHWAY,EXCITED,11251640.0,1.8,1.2,0.0,17.4,22.0,8.0,75.0,HIGH,0.04,5.675,5.66,5.69,0.5,PREMIUM,MID,58,7,54,3.6,C,,,,
FCEL,Long,PULLBACK,T1-STRONG_LONG,96,7.3,6.6542,8.5916,,2.0,0.6458,7.3,3.2,APPROACH,7,7,"10m,15m,1d,1h,30m,4h,5m",7.07,6.86,OPEN_ROAD,EXCITED,85145679.0,3.1,1.7,1.0,22.2,22.0,8.0,52.81,HIGH,0.05,7.005,6.83,7.18,5.1,PREMIUM,MID,222,6,154,4.9,B,,,,
XNDU,Long,PULLBACK,T3-LONG_WATCH,100,13.35,12.901,14.83,,3.3,0.449,14.83,10.0,WAITING,2,2,"15m,5m",13.35,13.3,HIGHWAY,EXCITED,2659600.0,4.7,2.9,2.0,121.5,59.0,8.0,0.72,NANO,4.02,12.02,11.49,12.55,9.2,PREMIUM,PREMIUM,724,12,568,2.4,C,,,,
AMKR,Long,BOUNCE,T1-STRONG_LONG,100,61.32,58.685,66.59,,2.0,2.635,61.32,0.1,CLOSE,5,5,"15m,1d,1h,30m,4h",61.25,60.5,HIGHWAY,EXCITED,134555289.0,1.1,1.2,0.0,22.5,49.0,8.0,133.95,HIGH,0.01,61.285,60.44,62.13,2.8,MID,DISCOUNT,4316,22,1511,99.9,A,,,,
TDUP,Long,PULLBACK,T3-LONG_WATCH,69,3.71,3.492,4.44,,3.3,0.218,4.03,7.9,WAITING,1,1,1d,3.71,3.6,HIGHWAY,EXCITED,38919111.0,1.5,1.1,1.0,13.5,34.0,8.0,100.76,HIGH,0.02,3.945,3.94,3.95,0.3,FLAT,FLAT,165,5,8,10.2,B,,,,
IRDM,Long,BREAKOUT,T1-STRONG_LONG,100,36.13,34.1731,40.0438,36.43,2.0,1.9569,36.12,0.0,INSIDE,2,2,,,,HIGHWAY,EXCITED,,,,,,,,,HIGH,0.02,36.43,35.23,37.63,6.8,MID,DISCOUNT,529,8,493,99.9,A,False,1.3,True,
HIMX,Long,PULLBACK,T1-STRONG_LONG,100,9.46,9.0016,10.3768,,2.0,0.4584,9.98,5.2,APPROACH,7,7,"10m,15m,1d,1h,30m,4h,5m",9.46,9.28,HIGHWAY,EXCITED,61976286.0,1.1,0.7,0.0,14.3,27.0,8.0,247.07,MEGA,0.01,9.43,9.26,9.6,3.7,PREMIUM,DISCOUNT,434,6,185,99.9,A,,,,
TXG,Long,BOUNCE,T1-STRONG_LONG,99,24.8,22.7465,28.907,,2.0,2.0535,24.8,2.5,CLOSE,8,7,"10m,15m,1d,1h,30m,4h,5m",24.19,23.45,HIGHWAY,EXCITED,133510829.0,1.6,1.1,0.0,13.9,52.0,8.0,115.31,HIGH,0.02,23.885,23.58,24.19,2.6,PREMIUM,MID,1664,16,467,99.9,A,,,,
WRBY,Long,PULLBACK,T2-LONG,92,21.52,20.6028,24.98,,3.8,0.9172,23.14,7.0,WAITING,3,3,"15m,1d,4h",21.52,21.24,HIGHWAY,EXCITED,54520156.0,1.3,0.9,0.0,15.8,16.0,8.0,92.2,HIGH,0.02,21.4,21.28,21.52,1.1,PREMIUM,MID,121,5,113,8.0,B,,,,
LEGN,Long,PULLBACK,T2-LONG,86,18.69,17.169,22.04,,2.2,1.521,18.69,4.7,APPROACH,3,3,"10m,15m,5m",17.82,17.7,HIGHWAY,EXCITED,5083958.0,2.0,1.7,1.0,6.2,22.0,8.0,163.19,HIGH,0.01,17.77,17.69,17.85,0.9,PREMIUM,MID,136,2,121,17.9,C,,,,
VIR,Long,PULLBACK,T1-STRONG_LONG,99,9.35,9.0307,9.9886,,2.0,0.3193,10.05,7.0,APPROACH,5,5,"15m,1d,1h,30m,4h",9.35,9.31,HIGHWAY,EXCITED,9263089.0,1.5,1.0,0.0,11.4,22.0,8.0,102.81,HIGH,0.02,9.33,9.31,9.35,0.4,FLAT,FLAT,635,7,146,99.9,A,,,,
TNDM,Long,PULLBACK,T1-STRONG_LONG,90,21.11,19.4873,24.3554,,2.0,1.6227,21.11,3.7,APPROACH,6,6,"10m,15m,1d,1h,30m,4h",20.33,20.09,OPEN_ROAD,EXCITED,65832471.0,1.4,0.8,0.0,12.4,33.0,8.0,62.61,HIGH,0.02,20.215,20.1,20.33,1.1,PREMIUM,MID,494,8,267,8.8,A,,,,
NNE,Long,BOUNCE,T1-STRONG_LONG,93,23.52,21.243,28.074,,2.0,2.277,23.52,2.2,CLOSE,7,7,"10m,15m,1d,1h,30m,4h,5m",23.0,21.9,OPEN_ROAD,EXCITED,470643253.0,1.3,1.0,0.0,23.1,28.0,8.0,40.04,MED,0.05,22.6,21.87,23.33,6.7,PREMIUM,MID,945,4,715,6.5,B,,,,
PRME,Long,BOUNCE,T3-LONG_WATCH,48,3.7,3.5502,3.9996,,2.0,0.1498,3.7,0.3,CLOSE,1,1,1d,3.69,3.66,OPEN_ROAD,EXCITED,6067038.0,1.2,0.9,0.0,18.3,28.0,8.0,105.2,HIGH,0.02,3.675,3.66,3.69,0.8,PREMIUM,MID,99,11,25,3.0,C,,,,
VYX,Long,BOUNCE,T3-LONG_WATCH,35,6.83,6.5281,7.4338,,2.0,0.3019,6.83,0.1,CLOSE,1,1,1d,6.82,6.73,OPEN_ROAD,EXCITED,19902717.0,1.2,1.2,0.0,13.4,14.0,8.0,119.59,HIGH,0.01,6.775,6.73,6.82,1.3,PREMIUM,MID,9,1,9,6.0,D,,,,
IMVT,Long,PULLBACK,T3-LONG_WATCH,58,26.55,24.5701,30.5098,,2.0,1.9799,26.55,4.3,APPROACH,1,1,5m,25.42,25.33,OPEN_ROAD,EXCITED,166500.0,2.2,1.2,1.0,10.7,15.0,8.0,77.46,HIGH,0.02,25.06,25.12,25.0,-0.5,FLAT,FLAT,156,4,90,2.6,C,,,,
IE,Long,PULLBACK,T2-LONG,100,13.06,12.5712,15.51,13.65,5.0,0.4888,14.39,9.2,WAITING,2,2,"1d,4h",13.06,12.96,HIGHWAY,EXCITED,17459760.0,1.0,0.8,0.0,15.2,41.0,8.0,122.16,HIGH,0.01,13.65,13.5,13.8,2.2,PREMIUM,DISCOUNT,900,10,234,7.8,B,,,,
FORM,Long,PULLBACK,T3-LONG_WATCH,74,128.28,117.4379,149.9642,,2.0,10.8421,128.28,4.8,APPROACH,1,1,1d,122.15,121.07,HIGHWAY,EXCITED,109230336.0,1.6,2.0,1.0,22.6,41.0,8.0,77.28,HIGH,0.02,128.215,128.22,128.21,-0.0,FLAT,FLAT,6526,19,5671,99.9,A,,,,
ARIS,Long,PULLBACK,T1-STRONG_LONG,100,21.65,20.1954,24.5592,,2.0,1.4546,21.65,3.6,APPROACH,7,7,"10m,15m,1d,1h,30m,4h,5m",20.88,20.82,OPEN_ROAD,EXCITED,14407974.0,1.3,0.7,0.0,10.4,34.0,8.0,187.91,HIGH,0.01,20.95,20.76,21.14,1.8,PREMIUM,DISCOUNT,511,15,462,99.9,A,,,,
FUN,Long,PULLBACK,T1-STRONG_LONG,93,18.13,17.1884,20.09,19.565,2.1,0.9416,20.1,9.8,WAITING,1,1,1d,18.13,17.72,HIGHWAY,EXCITED,30471569.0,1.5,1.2,0.0,15.1,32.0,8.0,94.21,HIGH,0.02,19.565,19.65,19.48,-0.9,PREMIUM,DISCOUNT,299,7,149,10.5,A,,,,
IMSR,Long,BOUNCE,T1-STRONG_LONG,100,7.05,6.4117,8.3266,,2.0,0.6383,7.05,1.8,CLOSE,7,7,"10m,15m,1d,1h,30m,4h,5m",6.92,6.61,OPEN_ROAD,EXCITED,76018493.0,1.5,1.0,0.0,22.7,32.0,8.0,56.66,HIGH,0.03,6.795,6.59,7.0,6.2,PREMIUM,MID,281,3,54,3.7,C,,,,
RXO,Long,BOUNCE,T3-LONG_WATCH,48,16.24,15.5782,17.5636,,2.0,0.6618,16.24,0.9,CLOSE,1,1,1d,16.1,16.06,OPEN_ROAD,EXCITED,5195340.0,1.3,1.0,0.0,12.5,21.0,8.0,124.52,HIGH,0.01,16.08,16.06,16.1,0.2,FLAT,FLAT,170,5,85,2.0,C,,,,
SMR,Long,BREAKOUT,T2-LONG,77,10.29,9.315,12.24,,2.0,0.975,10.25,0.0,INSIDE,6,6,,,,OPEN_ROAD,EXCITED,,,,,,,,,MEGA,0.12,9.96,9.58,10.34,7.9,PREMIUM,MID,31,1,31,10.6,D,False,2.0,True,
NVO,Long,BOUNCE,T1-STRONG_LONG,91,39.32,36.8697,44.2206,,2.0,2.4503,39.32,0.9,CLOSE,7,7,"10m,15m,1d,1h,30m,4h,5m",38.97,38.01,MIXED,EXCITED,2119183776.0,1.2,0.9,0.0,7.0,38.0,8.0,3186.7,MEGA,0.0,38.555,37.98,39.13,3.0,PREMIUM,MID,762,2,210,4.5,C,,,,
NVDA,Long,BOUNCE,T1-STRONG_LONG,74,196.51,183.7665,221.997,,2.0,12.7435,196.51,2.9,CLOSE,7,7,"10m,15m,1d,1h,30m,4h,5m",190.77,189.45,HIGHWAY,EXCITED,25736236211.0,1.0,0.9,0.0,9.0,32.0,8.0,23321.68,MEGA,0.0,190.115,189.31,190.92,0.9,PREMIUM,MID,6077,12,3428,3.8,C,,,,
ZSPC,Long,PULLBACK,T2-LONG,73,0.08,0.0259,0.1882,,2.0,0.0541,0.08,4.5,APPROACH,3,3,"10m,1m,5m",0.0764,0.0759,OPEN_ROAD,EXCITED,0.0,2.1,2.2,2.0,45.0,50.0,8.0,19.64,MED,1.2,0.0733,0.0767,0.07,-8.7,PREMIUM,PREMIUM,0,1,0,2.1,D,,,,
HOTH,Long,BREAKOUT,T2-LONG,97,0.66,0.45,1.08,,2.0,0.21,0.6459,0.0,INSIDE,6,6,,,,OPEN_ROAD,EXCITED,,,,,,,,,MED,2.96,0.6182,0.5119,0.7246,41.6,MID,MID,9,2,9,7.7,D,False,16.9,True,
