date,ticker,gap_pct,open,prev_close,volume,stop,tgt,shares,outcome,exit,pnl,pct
2026-04-02,HOOD,-4.15,67.19999694824219,70.11,23381300,68.20799690246581,65.18399703979492,99,STOP,68.20799690246581,-99.79199546813847,-1.4999999999999822
2026-04-02,HRI,-3.08,91.12999725341797,94.03,1007200,92.49694721221923,88.39609733581543,73,STOP,92.49694721221923,-99.78734699249176,-1.4999999999999862
2026-04-28,HTCO,-18.89,31.0,38.22,2997997,31.464999999999996,30.07,215,STOP,31.464999999999996,-99.9749999999992,-1.4999999999999882
2026-04-02,INDI,-4.22,2.950000047683716,3.08,1556100,2.994250048398971,2.8615000462532043,2259,STOP,2.994250048398971,-99.96075161576175,-1.4999999999999856
2026-04-28,INDI,-6.06,3.7200000286102295,3.96,3148739,3.7758000290393827,3.6084000277519226,1792,STOP,3.7758000290393827,-99.99360076904259,-1.4999999999999942
2026-04-02,INTC,-4.1,46.04499816894531,48.03,117134200,46.73567314147949,44.663648223876955,144,STOP,46.73567314147949,-99.45719604492126,-1.4999999999999907
2026-04-28,INTC,-4.37,81.27999877929688,84.99,107508077,82.49919876098632,78.84159881591796,82,STOP,82.49919876098632,-99.97439849853427,-1.4999999999999867
2026-04-02,IONQ,-3.56,26.799999237060547,27.79,15521800,27.201999225616454,25.99599925994873,248,STOP,27.201999225616454,-99.69599716186502,-1.499999999999997
2026-04-02,IREN,-5.1,32.2400016784668,34.09,30118100,32.723601703643794,31.27280162811279,206,STOP,32.723601703643794,-99.62160518646147,-1.4999999999999858
2026-04-28,IREN,-5.22,45.834999084472656,48.36,30642577,46.52252407073974,44.45994911193848,145,STOP,46.52252407073974,-99.6911230087274,-1.4999999999999907
2026-04-16,ISPC,-4.38,0.10700000077486038,4.472,1296022,0.10860500078648327,0.10379000075161457,62305,STOP,0.10860500078648327,-99.99952572416431,-1.4999999999999876
2026-04-02,JOBY,-3.63,7.96999979019165,8.27,23369500,8.089549787044524,7.7308997964859,836,STOP,8.089549787044524,-99.94379736900206,-1.4999999999999811
2026-04-07,KEEL,-4.63,2.059999942779541,2.16,24556700,2.0908999419212337,1.9981999444961547,3236,STOP,2.0908999419212337,-99.99239722251765,-1.4999999999999811
2026-04-28,KEEL,-4.14,3.009999990463257,3.14,19480702,3.0551499903202055,2.919699990749359,2214,TARGET,2.919699990749359,199.92419936656972,3.000000000000003
2026-04-15,KIDZ,-18.75,1.8200000524520874,2.24,13175300,1.8473000532388686,1.7654000508785248,3663,TARGET,1.7654000508785248,199.99980576395978,2.9999999999999987
2026-04-23,KIDZ,-6.14,1.0700000524520874,1.14,1075600,1.0860500532388686,1.0379000508785248,6230,TARGET,1.0379000508785248,199.9830098032952,3.000000000000001
2026-04-27,KIDZ,-3.06,0.9200000166893005,0.949,7879000,0.93380001693964,0.8924000161886215,7246,STOP,0.93380001693964,-99.99480181395965,-1.4999999999999938
2026-04-02,LAC,-3.54,3.809999942779541,3.95,6069100,3.867149941921234,3.6956999444961545,1749,STOP,3.867149941921234,-99.95534849882077,-1.4999999999999925
2026-04-28,LAC,-3.81,5.050000190734863,5.25,14340494,5.125750193595886,4.898500185012817,1320,TARGET,4.898500185012817,199.9800075531012,3.0000000000000093
2026-04-02,LAES,-5.58,2.3698999881744385,2.51,6487700,2.405448487997055,2.2988029885292054,2813,STOP,2.405448487997055,-99.99793000102034,-1.4999999999999987
2026-04-17,LIMN,-6.09,0.21610000729560852,0.23,3927500,0.21934150740504263,0.20961700707674025,30849,STOP,0.21934150740504263,-99.99703687593282,-1.4999999999999913
2026-04-22,LOCL,-21.31,2.2899999618530273,2.91,2661600,2.3243499612808227,2.2212999629974366,2911,STOP,2.3243499612808227,-99.99284833431234,-1.4999999999999984
2026-04-02,LWLG,-5.99,6.63100004196167,6.84,3763200,6.730465042591094,6.432070040702819,1005,TARGET,6.432070040702819,199.9246512651449,3.000000000000008
2026-04-21,LWLG,-4.23,13.579999923706055,14.18,11589800,13.783699922561643,13.172599925994872,490,STOP,13.783699922561643,-99.8129994392385,-1.499999999999985
2026-04-28,LWLG,-5.62,11.75,12.45,4041312,11.92625,11.397499999999999,567,STOP,11.92625,-99.93374999999976,-1.4999999999999962
2026-04-02,MARA,-3.23,7.7820000648498535,8.04,50528900,7.8987300658226,7.548540062904357,856,STOP,7.8987300658226,-99.92088083267123,-1.4999999999999867
2026-04-28,MARA,-3.31,10.8100004196167,11.18,24782576,10.972150425910948,10.485700407028197,616,STOP,10.972150425910948,-99.88440387725747,-1.4999999999999876
2026-03-30,MGN,-11.24,0.15000000596046448,0.169,8560400,0.15225000604987143,0.14550000578165054,44444,STOP,0.15225000604987143,-99.99900397360275,-1.4999999999999927
