ticker,setup,side,score,entry,stop,target,secondary_target,shares,rr,spy_regime,rel_vol,current_price,primitives_json,reasons,notes,timestamp
FIVN,BULL_BOUNCE_PENDING,LONG,75.0,23.64,23.24,25.53,,252,4.77,FAVORABLE,2.79,23.83,"{""structural_anchor_below"": 14.0, ""near_pullback"": 8.0, ""obv_rising"": 8.0, ""rel_vol_normal+"": 4.0, ""breakout_volume_surge"": 6.0, ""regime_favorable"": 5.0}",PENDING: wait for pullback to $23.64 (1m 15tk MINOR gap) | only 0.8% below current — close pullback | OBV rising — accumulation underneath | breakout volume surge — real demand active | SPY FAVORABLE,LIMIT BUY @ $23.64 on pullback (0.8% below current $23.83). Stop $23.24. Anchor: 1m 15tk.,2026-05-05T05:30:10
FIVN,DCB_BREAKOUT,LONG,65.0,23.83,21.85,25.02,,50,0.6,FAVORABLE,2.79,23.83,"{""piercing_upper_rail"": 16.0, ""descending_channel"": 12.0, ""lower_rail_bull_anchored"": 14.0, ""clear_overhead"": 8.0, ""breakout_volume_surge"": 10.0, ""regime_favorable"": 5.0}",price piercing DESC channel upper rail ($24.01) | DESC channel (15m) = bull flag pattern | lower rail bull-anchored: 5m 38tk @ $21.98 | clear air or magnets above — follow-through plausible | breakout volume surge — real demand | SPY FAVORABLE,"Channel: 15m DESC (bull flag), broke upper rail",2026-05-05T05:30:10
FNMA,BULL_BOUNCE,LONG,80.4,8.68,8.13,8.82,,182,0.26,FAVORABLE,1.59,8.68,"{""ascending_channel"": 18.0, ""at_lower_rail"": 14.0, ""anchor_eligible"": 12.0, ""anchor_high_genesis_rank"": 6.4, ""multiple_touches"": 16.0, ""obv_rising"": 6.0, ""rel_vol_normal+"": 3.0, ""regime_favorable"": 5.0}",ASC channel detected on 5m (score 72) | price at lower rail ($8.70) | anchor: 1h 10tk @ $8.55 | 5 prior bull-rail touches | OBV rising — accumulation underneath | SPY FAVORABLE,"Channel: 5m ASC, rails $8.70-$8.82",2026-05-05T05:30:13
FNMA,BULL_BOUNCE_PENDING,LONG,78.6,8.6,8.44,9.03,,608,2.61,FAVORABLE,1.59,8.68,"{""structural_anchor_below"": 14.0, ""high_genesis_rank"": 9.6, ""near_pullback"": 8.0, ""obv_rising"": 8.0, ""rel_vol_normal+"": 4.0, ""regime_favorable"": 5.0}",PENDING: wait for pullback to $8.60 (1h 10tk MINOR gap) | only 0.9% below current — close pullback | OBV rising — accumulation underneath | SPY FAVORABLE,LIMIT BUY @ $8.60 on pullback (0.9% below current $8.68). Stop $8.44. Anchor: 1h 10tk.,2026-05-05T05:30:13
ARDX,BULL_BOUNCE_PENDING,LONG,75.0,7.43,7.3,7.74,,789,2.45,FAVORABLE,2.12,7.45,"{""structural_anchor_below"": 14.0, ""near_pullback"": 8.0, ""obv_rising"": 8.0, ""rel_vol_normal+"": 4.0, ""breakout_volume_surge"": 6.0, ""regime_favorable"": 5.0}",PENDING: wait for pullback to $7.43 (15m 9tk MINOR gap) | only 0.3% below current — close pullback | OBV rising — accumulation underneath | breakout volume surge — real demand active | SPY FAVORABLE,LIMIT BUY @ $7.43 on pullback (0.3% below current $7.45). Stop $7.3. Anchor: 15m 9tk.,2026-05-05T05:30:17
ARDX,CHANNEL_BREAKOUT,LONG,65.0,7.45,7.32,7.74,,746,2.17,FAVORABLE,2.12,7.45,"{""outside_upper_rail"": 16.0, ""ascending_channel"": 14.0, ""anchored_origin"": 8.0, ""breakout_volume_surge"": 10.0, ""regime_favorable"": 5.0, ""magnet_pull"": 12.0}","price broke above ASC upper rail ($7.39) | ASC channel (5m) | channel anchored (15m 9tk) | breakout volume surge ≥ 2× avg | SPY FAVORABLE | target = 1h 6tk @ $7.74 (MINOR, pull 127)","Channel: 5m ASC, broke upper rail",2026-05-05T05:30:17
PURR,BULL_BOUNCE_PENDING,LONG,70.4,6.58,6.44,6.85,7.04,730,1.97,FAVORABLE,1.43,6.64,"{""structural_anchor_below"": 14.0, ""high_genesis_rank"": 5.4, ""near_pullback"": 8.0, ""obv_rising"": 8.0, ""regime_favorable"": 5.0}",PENDING: wait for pullback to $6.58 (1h 9tk MINOR gap) | only 0.9% below current — close pullback | OBV rising — accumulation underneath | SPY FAVORABLE,LIMIT BUY @ $6.58 on pullback (0.9% below current $6.64). Stop $6.44. Anchor: 1h 9tk.,2026-05-05T05:30:20
SHLS,BULL_BOUNCE_PENDING,LONG,73.1,9.6,9.42,10.58,10.31,575,5.66,FAVORABLE,1.36,9.68,"{""structural_anchor_below"": 14.0, ""high_genesis_rank"": 8.1, ""near_pullback"": 8.0, ""obv_rising"": 8.0, ""regime_favorable"": 5.0}",PENDING: wait for pullback to $9.60 (5m 13tk MINOR gap) | only 0.9% below current — close pullback | OBV rising — accumulation underneath | SPY FAVORABLE,LIMIT BUY @ $9.60 on pullback (0.9% below current $9.68). Stop $9.42. Anchor: 5m 13tk.,2026-05-05T05:30:23
REAL,BULL_BOUNCE_PENDING,LONG,65.0,12.92,12.19,14.44,15.15,136,2.08,FAVORABLE,2.4,13.18,"{""structural_anchor_below"": 14.0, ""medium_anchor"": 6.0, ""near_pullback"": 8.0, ""obv_falling"": -8.0, ""rel_vol_normal+"": 4.0, ""breakout_volume_surge"": 6.0, ""regime_favorable"": 5.0}",PENDING: wait for pullback to $12.92 (15m 68tk MINOR gap) | only 2.0% below current — close pullback | OBV falling — distribution; bounce thesis weaker | breakout volume surge — real demand active | SPY FAVORABLE,LIMIT BUY @ $12.92 on pullback (2.0% below current $13.18). Stop $12.19. Anchor: 15m 68tk.,2026-05-05T05:30:27
ABSI,BULL_BOUNCE_PENDING,LONG,65.0,5.67,5.54,5.95,,762,2.16,FAVORABLE,1.4,5.7,"{""structural_anchor_below"": 14.0, ""near_pullback"": 8.0, ""obv_rising"": 8.0, ""regime_favorable"": 5.0}",PENDING: wait for pullback to $5.67 (5m 4tk MINOR gap) | only 0.5% below current — close pullback | OBV rising — accumulation underneath | SPY FAVORABLE,LIMIT BUY @ $5.67 on pullback (0.5% below current $5.70). Stop $5.54. Anchor: 5m 4tk.,2026-05-05T05:30:31
