ticker,side,tier,fem,mode,entry,stop,t1,t2,shares,rr,spy_regime,current_price,entry_type,scan_date,asof
GCTS,LONG,CONVICTION,70.4,BULL_BOUNCE_PENDING,3.36,3.03,3.53,,307,0.52,FAVORABLE,3.0634,STOP,2026-05-22,2026-05-22T07:05:25.869446
BBAI,SHORT,CONVICTION,70.2,DOUBLE_REJECTION_SHORT,4.47,4.51,4.22,3.88,2616,6.67,FAVORABLE,4.475,LIMIT,2026-05-22,2026-05-22T07:04:46.841891
SFTBY,LONG,CONVICTION,69.9,CHANNEL_GAP_BREAKOUT_LONG,21.34,20.27,22.41,,93,1.0,FAVORABLE,21.34,LIMIT,2026-05-22,2026-05-22T07:12:09.410193
TWST,LONG,CONVICTION,69.8,CHANNEL_GAP_BREAKOUT_LONG,61.29,58.23,64.35,,32,1.0,FAVORABLE,61.29,LIMIT,2026-05-22,2026-05-22T07:13:25.648606
MEHA,LONG,CONVICTION,69.0,BULL_BOUNCE_PENDING,0.1,0.08,0.1,,5309,0.26,FAVORABLE,0.0998,LIMIT,2026-05-22,2026-05-22T06:59:23.696327
ONCO,LONG,CONVICTION,69.0,BULL_BOUNCE_PENDING,1.17,0.98,1.23,,534,0.31,FAVORABLE,1.1701,LIMIT,2026-05-22,2026-05-22T07:03:03.565522
ALOY,LONG,CONVICTION,68.9,CHANNEL_GAP_BREAKOUT_LONG,10.23,9.72,11.2,11.7,195,1.89,FAVORABLE,10.235,LIMIT,2026-05-22,2026-05-22T07:13:19.630415
MX,LONG,CONVICTION,68.7,BULL_BOUNCE_PENDING,5.41,5.16,5.89,,393,1.89,FAVORABLE,5.5213,LIMIT,2026-05-22,2026-05-22T07:11:50.529281
NICH,LONG,CONVICTION,68.0,BULL_BOUNCE_PENDING,0.01,0.01,0.01,,44179,0.18,FAVORABLE,0.0083,LIMIT,2026-05-22,2026-05-22T07:18:28.635555
CLF,LONG,CONVICTION,67.6,BULL_BOUNCE_PENDING,10.63,9.74,11.16,,112,0.6,FAVORABLE,10.85,LIMIT,2026-05-22,2026-05-22T07:06:37.487666
