ticker,current_price,phase,consumed_pct,consumed_count,overhead_count,total_in_arc,next_major_top,next_major_bot,next_major_ticks,next_major_tf,next_major_dist_pct,sub_tf_status_str,has_recent_flip,total_bearish_gaps,est_open,stop,target,shares,expected_pct,rr,promoted
ATI,225.0917,BASING,0.0,0,20,20,230.36,227.75,262,daily,1.18,20 bear-built-above · rel-vol 0.8x · regime CHOP,False,20,225.0917,221.7153,230.36,29,2.34,1.56,False
ATRO,85.67,BASING,0.0,0,20,20,93.05,91.48,157,daily,6.78,51 bear-built-above · rel-vol 1.4x · regime CHOP,False,20,85.67,84.385,93.05,77,8.61,5.74,False
AUGO,76.32,BASING,0.0,0,15,15,85.0,83.18,182,1h,8.99,13 bear-built-above · rel-vol 0.7x · regime CHOP,False,15,76.32,75.1752,85.0,87,11.37,7.58,False
AUR,6.18,BASING,0.0,0,16,16,6.93,6.48,45,daily,4.85,14 bear-built-above · rel-vol 2.7x · regime CHOP,False,18,6.18,6.0873,6.93,1078,12.14,8.09,False
AVAH,12.6,BASING,0,0,0,0,,,,,0,rel-vol 1.8x · regime CHOP,False,0,12.6,12.411,13.86,529,10.0,6.67,False
AVAV,174.5459,BASING,0.0,0,20,20,181.13,175.53,560,daily,0.56,45 bear-built-above · rel-vol 0.6x · regime CHOP,False,22,174.5459,171.9277,181.13,38,3.77,2.51,False
AVGO,380.88,BASING,0.0,0,19,19,479.23,418.91,6032,daily,9.98,43 bear-built-above · rel-vol 1.2x · regime CHOP,False,19,380.88,375.1668,479.23,17,25.82,17.21,False
AVNT,43.46,BASING,0.0,0,20,20,46.89,46.61,29,daily,7.25,49 bear-built-above · rel-vol 1.0x · regime CHOP,False,23,43.46,42.8081,46.89,153,7.89,5.26,False
AVS,7.69,BASING,0.0,0,20,20,8.255,8.14,12,1h,5.85,11 bear-built-above · rel-vol 0.8x · regime CHOP,False,21,7.69,7.5747,8.255,866,7.35,4.9,False
AVTR,13.3,BASING,0.0,0,15,15,13.85,13.78,8,daily,3.61,14 bear-built-above · rel-vol 0.5x · regime CHOP,False,17,13.3,13.1005,13.85,501,4.14,2.76,False
AXON,617.0,BASING,0.0,0,20,20,706.13,639.53,6661,daily,3.65,20 bear-built-above · rel-vol 0.7x · regime CHOP,False,21,617.0,607.745,706.13,10,14.45,9.63,False
