ticker,side,mode,tier,fem,entry,stop,t1,rr,risk,stop_adjusted,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,path,vol_ratio,vol_hot,outcome,result_r,scan_date
GS,Short,RESISTANCE,T3-SHORT,77,813.18,829.4436,778.63,2.1,16.2636,True,787.52,3.3,APPROACH,1,1,OPEN_ROAD,1.4,False,STOPPED,-1.0,2026-03-13
BABA,Short,RESISTANCE,T3-SHORT,41,136.24,138.9648,128.51,2.8,2.7248,True,134.2,1.5,CLOSE,1,1,OPEN_ROAD,0.7,False,STOPPED,-1.0,2026-03-13
UNH,Short,RESISTANCE,T3-SHORT,95,287.34,293.0868,275.2,2.1,5.7468,True,277.05,3.7,APPROACH,1,1,HIGHWAY,1.5,False,TARGET_HIT,2.11,2026-03-13
WFC,Short,RESISTANCE,T2-SHORT,95,79.43,81.0186,75.18,2.7,1.5886,True,75.25,5.6,APPROACH,1,1,HIGHWAY,1.4,False,NO_FILL,0.0,2026-03-13
PM,Short,RESISTANCE,T3-SHORT,71,172.87,176.3274,159.18,4.0,3.4574,True,172.0,0.5,CLOSE,1,1,OPEN_ROAD,1.5,False,STOPPED,-1.0,2026-03-13
LIN,Short,RESISTANCE,T3-SHORT,55,501.68,511.7136,481.55,2.0,10.0336,True,490.41,2.3,CLOSE,1,1,OPEN_ROAD,1.1,False,NO_FILL,0.0,2026-03-13
AXP,Short,RESISTANCE,T3-SHORT,69,307.21,313.3542,279.73,4.5,6.1442,True,301.89,1.8,CLOSE,1,1,OPEN_ROAD,0.8,False,NO_FILL,0.0,2026-03-13
C,Short,RESISTANCE,T3-SHORT,57,110.57,112.7814,101.72,4.0,2.2114,True,105.5,4.8,APPROACH,1,1,OPEN_ROAD,1.2,False,NO_FILL,0.0,2026-03-13
KLAC,Short,RESISTANCE,T3-SHORT,70,1466.1,1495.422,1322.93,4.9,29.322,True,1409.57,4.0,APPROACH,1,1,OPEN_ROAD,1.5,False,STOPPED,-1.0,2026-03-13
AMGN,Short,RESISTANCE,T3-SHORT,58,375.0,382.5,354.19,2.8,7.5,True,367.79,2.0,CLOSE,1,1,OPEN_ROAD,0.6,False,NO_FILL,0.0,2026-03-13
TMO,Short,RESISTANCE,T3-SHORT,60,491.01,500.8302,465.55,2.6,9.8202,True,475.89,3.2,APPROACH,1,1,OPEN_ROAD,1.1,False,NO_FILL,0.0,2026-03-13
ABT,Short,RESISTANCE,T3-SHORT,70,113.61,115.8822,106.7934,3.0,2.2722,True,108.14,5.1,APPROACH,1,1,OPEN_ROAD,1.5,False,NO_FILL,0.0,2026-03-13
TXN,Short,RESISTANCE,T3-SHORT,60,201.37,205.3974,180.09,5.3,4.0274,True,190.05,6.0,APPROACH,1,1,OPEN_ROAD,1.2,False,NO_FILL,0.0,2026-03-13
DIS,Short,RESISTANCE,T3-SHORT,54,101.54,103.5708,87.03,7.1,2.0308,True,99.43,2.1,CLOSE,1,1,OPEN_ROAD,0.9,False,NO_FILL,0.0,2026-03-13
SCHW,Short,RESISTANCE,T3-SHORT,68,92.1,93.942,85.37,3.7,1.842,True,91.24,0.9,CLOSE,1,1,OPEN_ROAD,0.7,False,STOPPED,-1.0,2026-03-13
BA,Short,RESISTANCE,T3-SHORT,80,224.1,228.582,204.7,4.3,4.482,True,204.76,9.4,WAITING,1,1,HIGHWAY,1.7,True,NO_FILL,0.0,2026-03-13
