ticker,convergence_score,n_scanners,scanners,sides,dominant_side,agreement_pct,best_rank,avg_rank,long_pts,short_pts,total_raw_pts,sector_mult,sector_label
SVC,26.9,3,A-Book#1;Analyst#5;Consumption#212,"LONG,NA",LONG,100.0,1,72.7,12.5,0.0,15.2,1.054,NEUTRAL
OKTA,4.8,2,Analyst#5;Consumption#158,"LONG,NA",LONG,100.0,5,81.5,0.6,0.0,3.2,1.066,NEUTRAL
PATH,4.8,2,Analyst#5;Consumption#167,"LONG,NA",LONG,100.0,5,86.0,0.5,0.0,3.2,1.066,NEUTRAL
PL,4.8,2,Analyst#5;Consumption#169,"LONG,NA",LONG,100.0,5,87.0,0.5,0.0,3.2,1.066,NEUTRAL
PRGS,4.8,2,Analyst#5;Consumption#176,"LONG,NA",LONG,100.0,5,90.5,0.5,0.0,3.2,1.066,NEUTRAL
RGNX,4.8,2,Analyst#5;Consumption#188,"LONG,NA",LONG,100.0,5,96.5,0.5,0.0,3.2,1.078,STRONG
RIOT,4.8,2,Analyst#5;Consumption#190,"LONG,NA",LONG,100.0,5,97.5,0.5,0.0,3.2,1.066,NEUTRAL
KRMN,4.7,2,Analyst#5;Consumption#124,"LONG,NA",LONG,100.0,5,64.5,0.6,0.0,3.3,1.006,NEUTRAL
KTOS,4.7,2,Analyst#5;Consumption#125,"LONG,NA",LONG,100.0,5,65.0,0.6,0.0,3.3,1.006,NEUTRAL
STGW,4.7,2,Analyst#5;Consumption#210,"LONG,NA",LONG,100.0,5,107.5,0.5,0.0,3.2,1.066,NEUTRAL
TEM,4.7,2,Analyst#5;Consumption#217,"LONG,NA",LONG,100.0,5,111.0,0.5,0.0,3.2,1.066,NEUTRAL
TENB,4.7,2,Analyst#5;Consumption#218,"LONG,NA",LONG,100.0,5,111.5,0.5,0.0,3.2,1.066,NEUTRAL
U,4.7,2,Analyst#5;Consumption#224,"LONG,NA",LONG,100.0,5,114.5,0.5,0.0,3.2,1.066,NEUTRAL
ZS,4.7,2,Analyst#5;Consumption#252,"LONG,NA",LONG,100.0,5,128.5,0.4,0.0,3.1,1.066,NEUTRAL
INTC,4.6,2,Analyst#5;Consumption#114,"LONG,NA",LONG,100.0,5,59.5,0.7,0.0,3.3,0.982,NEUTRAL
KLAC,4.6,2,Analyst#5;Consumption#122,"LONG,NA",LONG,100.0,5,63.5,0.6,0.0,3.3,0.982,NEUTRAL
NKE,4.6,2,Analyst#5;Consumption#147,"LONG,NA",LONG,100.0,5,76.0,0.6,0.0,3.3,1.006,NEUTRAL
LRCX,4.5,2,Analyst#5;Consumption#128,"LONG,NA",LONG,100.0,5,66.5,0.6,0.0,3.3,0.982,NEUTRAL
MRVL,4.5,2,Analyst#5;Consumption#136,"LONG,NA",LONG,100.0,5,70.5,0.6,0.0,3.3,0.982,NEUTRAL
MU,4.5,2,Analyst#5;Consumption#140,"LONG,NA",LONG,100.0,5,72.5,0.6,0.0,3.3,0.982,NEUTRAL
QXO,4.5,2,Analyst#5;Consumption#184,"LONG,NA",LONG,100.0,5,94.5,0.5,0.0,3.2,1.006,NEUTRAL
RKLB,4.5,2,Analyst#5;Consumption#191,"LONG,NA",LONG,100.0,5,98.0,0.5,0.0,3.2,1.006,NEUTRAL
SNDK,4.5,2,Analyst#5;Consumption#209,"LONG,NA",LONG,100.0,5,107.0,0.5,0.0,3.2,1.006,NEUTRAL
CEG,4.4,2,Analyst#5;Consumption#51,"LONG,NA",LONG,100.0,5,28.0,1.0,0.0,3.7,0.862,COLD
QCOM,4.4,2,Analyst#5;Consumption#180,"LONG,NA",LONG,100.0,5,92.5,0.5,0.0,3.2,0.982,NEUTRAL
FCEL,4.2,2,Analyst#5;Consumption#86,"LONG,NA",LONG,100.0,5,45.5,0.8,0.0,3.4,0.874,COLD
GLW,4.2,2,Analyst#5;Consumption#96,"LONG,NA",LONG,100.0,5,50.5,0.7,0.0,3.4,0.886,WEAK
NEM,4.2,2,Analyst#5;Consumption#144,"LONG,NA",LONG,100.0,5,74.5,0.6,0.0,3.3,0.922,WEAK
OKLO,3.9,2,Analyst#5;Consumption#157,"LONG,NA",LONG,100.0,5,81.0,0.6,0.0,3.2,0.862,COLD
