idea_id,day,source,ticker,setup,side,tier,score,score_band,entry_type,entry,stop,target,shares,rr,first_seen,last_seen,outcome,result_r,mfe_r,mae_r,current_r,fill_time,exit_time,last_px,spy_regime,relative_volume_today,obv_state,notes
405d6fb1ff47d2cb,2026-08-20,live_state_lookup,ELF,BULL_BOUNCE_PENDING,LONG,CONVICTION,73.7,70-79,LIMIT,100.79,95.93,105.83,47,1.04,2026-08-20T04:03:29,2026-08-20T09:40:23,NOT_EVALUATED,,,,,,,,CHOP,0.208,NEUTRAL,LIMIT BUY @ $95.07 (2% pullback cap; anchor at $94.72 too far). Stop $92.97. Anchor: daily 257tk.
f57a04f0ce6ce68a,2026-08-20,live_state_lookup,BFAM,BEAR_REJECTION_PENDING,SHORT,CONVICTION,73.7,70-79,LIMIT,74.57,75.9,71.41,75,2.39,2026-08-20T04:02:48,2026-08-20T12:42:32,NOT_EVALUATED,,,,,,,,CHOP,1.257,FALLING,LIMIT SHORT @ $74.57 (2% rally cap; anchor at $74.96 too far). Stop $75.9. Anchor: daily 57tk bear.
436dc6947fd2e704,2026-08-20,live_state_lookup,RRX,BULL_BOUNCE_PENDING,LONG,CONVICTION,73.6,70-79,LIMIT,166.1,154.97,192.97,8,2.41,2026-08-20T04:02:31,2026-08-20T09:26:31,NOT_EVALUATED,,,,,,,,CHOP,1.185,FALLING,LIMIT BUY @ $166.10 (2% pullback cap; anchor at $157.89 too far). Stop $154.97. Anchor: daily 230tk.
586ef97e33bb61fd,2026-08-20,live_state_lookup,JBTM,BEAR_REJECTION_PENDING,SHORT,CONVICTION,72.0,70-79,LIMIT,116.72,118.36,108.79,15,4.81,2026-08-20T04:02:57,2026-08-20T12:42:32,NOT_EVALUATED,,,,,,,,CHOP,0.915,FALLING,LIMIT SHORT @ $116.72 on rally (1.5% above current $115.03). Stop $118.36. Anchor: 1m 101tk bear.
dd2cfc0a07308136,2026-08-20,live_state_lookup,CTSO,BEAR_REJECTION_PENDING,SHORT,CONVICTION,71.7,70-79,LIMIT,0.36,0.37,0.34,11111,2.0,2026-08-20T04:03:13,2026-08-20T12:42:32,NOT_EVALUATED,,,,,,,,HOSTILE,1.585,NEUTRAL,LIMIT SHORT @ $0.36 on rally (1.4% above current $0.36). Stop $0.37. Anchor: 4h 1tk bear.
e0432e5f1079a9d6,2026-08-20,live_state_lookup,CVLT,BULL_BOUNCE_PENDING,LONG,CONVICTION,71.7,70-79,LIMIT,134.31,132.59,144.32,14,5.81,2026-08-20T04:03:03,2026-08-20T08:15:27,NOT_EVALUATED,,,,,,,,CHOP,0.644,NEUTRAL,LIMIT BUY @ $134.31 on pullback (0.7% below current $136.25). Stop $132.59. Anchor: daily 191tk.
77aee50ffdbafdbe,2026-08-20,live_state_lookup,PSIG,BULL_BOUNCE_CONFIRMED,LONG,CONVICTION,71.6,70-79,LIMIT,1.95,1.69,2.05,386,0.38,2026-08-20T09:42:14,2026-08-20T09:40:23,NOT_EVALUATED,,,,,,,,CHOP,0.44,RISING,"Channel: 15m ASC, rails $1.88-$2.29. Recent low $1.90 → now $1.95 (+2.6%)"
1dd9281f028a30ce,2026-08-20,live_state_lookup,ULCC,BEAR_REJECTION_PENDING,SHORT,CONVICTION,71.6,70-79,LIMIT,6.18,6.31,5.57,774,4.69,2026-08-20T04:03:39,2026-08-20T12:42:32,NOT_EVALUATED,,,,,,,,HOSTILE,0.61,NEUTRAL,LIMIT SHORT @ $6.18 on rally (1.3% above current $6.10). Stop $6.31. Anchor: 30m 8tk bear.
35a3f3df151e0799,2026-08-20,live_state_lookup,NRG,BULL_BOUNCE_PENDING,LONG,CONVICTION,71.6,70-79,LIMIT,117.84,108.28,123.74,10,0.62,2026-08-20T04:02:24,2026-08-20T10:18:06,NOT_EVALUATED,,,,,,,,CHOP,0.713,RISING,LIMIT BUY @ $117.84 (2% pullback cap; anchor at $110.44 too far). Stop $108.28. Anchor: daily 172tk.
55ac91d21af96891,2026-08-20,live_state_lookup,RRX,BEAR_REJECTION_PENDING,SHORT,CONVICTION,71.5,70-79,LIMIT,172.43,175.39,147.27,33,8.49,2026-08-20T05:08:06,2026-08-20T12:42:32,NOT_EVALUATED,,,,,,,,HOSTILE,1.185,FALLING,LIMIT SHORT @ $172.43 on rally (1.7% above current $169.49). Stop $175.39. Anchor: daily 210tk bear.
