ticker,stage,stage_pct,conviction,today_vol_pct_of_avg,recent_8bar_green_count,recent_8bar_move_pct,first_consumption_recent,days_since_advance,rej_tf,rej_tf_weight,rej_ticks,rej_wicked,bounce_tf,bounce_ticks,bounce_wicked,oh_fresh_w,oh_wicked_w,oh_effective_w,oh_n_fresh,oh_n_wicked,top_overhead,rejection_dt,rejection_price,bounce_dt,snapshot_price,target,stop,rr,n_bearish_total,n_bearish_consumed,risk_climax,risk_vol_ratio,av20_volume,fresh_bull_5m_below,n_overhead_remaining
GSHD,BOUNCED_WAITING,0,3,168.0,4,-0.3,False,0.2,15m,5,34,False,1m,13,False,46459,1331,47124.5,76,7,1d.797t | 1d.131t | 1d.80t,2026-04-29T10:00:00.000,48.13,2026-05-26T11:15:00.000,40.0,48.6,39.4909,16.89,41,0,False,1.75,306804,0,83
GSHD,BOUNCED_WAITING,0,3,168.0,4,-0.3,False,0.2,15m,5,41,False,1m,13,False,46459,1331,47124.5,76,7,1d.797t | 1d.131t | 1d.80t,2026-04-30T09:45:00.000,45.0,2026-05-26T11:15:00.000,40.0,46.805,39.4909,13.37,37,0,False,1.75,306804,0,83
GSHD,BOUNCED_WAITING,0,3,168.0,4,-0.3,False,0.2,15m,5,29,False,1m,13,False,46459,1331,47124.5,76,7,1d.797t | 1d.131t | 1d.80t,2026-05-22T10:15:00.000,42.14,2026-05-26T11:15:00.000,40.0,42.28,39.4909,4.48,18,0,False,1.75,306804,0,83
GSHD,BOUNCED_WAITING,0,3,168.0,4,-0.3,False,0.2,15m,5,58,False,1m,13,False,46459,1331,47124.5,76,7,1d.797t | 1d.131t | 1d.80t,2026-05-26T09:45:00.000,40.045,2026-05-26T11:15:00.000,40.0,41.105,39.4909,2.17,4,0,False,1.75,306804,0,83
BTGO,BOUNCED_WAITING,0,0,3.7,2,-0.5,False,0.7,4h,12,22,False,1m,6,True,4150,2044,5172.0,124,32,1d.71t~ | 1d.42t | 1d.23t,2026-05-12T10:00:00.000,12.08,2026-05-26T16:30:00.000,6.07,12.68,5.988,80.61,120,0,False,0.04,1264343,0,156
AMWD,BOUNCED_WAITING,0,0,0.0,3,-1.5,False,0.9,4h,12,130,False,1d,22,False,47012,0,47012.0,53,0,1d.600t | 1d.127t | 1d.118t,2026-04-27T09:30:00.000,46.395,2026-05-26T09:30:00.000,42.63,48.71,38.8422,1.61,3,0,False,0.0,283255,0,53
PHGE,BOUNCED_WAITING,0,0,7.0,3,-5.3,False,0.9,1h,8,20,False,1d,44,False,18887,60,18917.0,187,1,1d.83t | 1d.66t | 1d.55t,2026-05-26T04:00:00.000,1.955,2026-05-26T11:00:00.000,1.2968,2.8,0.9841,4.81,15,0,False,0.07,17207676,0,188
SYM,BOUNCED_WAITING,0,0,0.8,3,-0.1,False,0.6,15m,5,20,True,1m,31,False,34941,1740,35811.0,43,17,1d.546t | 1d.250t | 1d.237t,2026-05-26T07:45:00.000,56.0,2026-05-26T17:45:00.000,53.01,56.22,52.5946,7.73,13,0,False,0.01,1753196,0,60
BTGO,BOUNCED_WAITING,0,0,3.7,2,-0.5,False,0.7,15m,5,33,True,1m,6,True,4150,2044,5172.0,124,32,1d.71t~ | 1d.42t | 1d.23t,2026-05-14T08:00:00.000,11.25,2026-05-26T16:30:00.000,6.07,11.37,5.988,64.63,103,0,False,0.04,1264343,0,156
BTGO,BOUNCED_WAITING,0,0,3.7,2,-0.5,False,0.7,15m,5,23,False,1m,6,True,4150,2044,5172.0,124,32,1d.71t~ | 1d.42t | 1d.23t,2026-05-18T06:45:00.000,9.19,2026-05-26T16:30:00.000,6.07,9.22,5.988,38.41,78,0,False,0.04,1264343,0,156
BTGO,BOUNCED_WAITING,0,0,3.7,2,-0.5,False,0.7,15m,5,29,True,1m,6,True,4150,2044,5172.0,124,32,1d.71t~ | 1d.42t | 1d.23t,2026-05-20T10:30:00.000,8.1,2026-05-26T16:30:00.000,6.07,8.31,5.988,27.32,52,0,False,0.04,1264343,0,156
VRRM,BOUNCED_WAITING,0,3,155.0,4,-4.7,False,0,15m,5,71,False,1m,2,False,11931,120,11991.0,92,8,1d.115t | 1d.32t | 1d.24t,2026-05-11T10:00:00.000,14.125,2026-05-27T09:00:00.000,5.835,14.15,5.7984,227.06,56,0,False,1.6,1693791,0,100
MRLN,BOUNCED_WAITING,0,0,3.0,2,-3.4,False,5.0,15m,5,30,True,3m,3,True,4892,607,5195.5,68,9,1d.35t | 1d.27t | 1d.15t,2026-05-07T09:30:00.000,8.77,2026-05-22T09:30:00.000,7.58,9.3,6.8363,2.31,15,0,False,0.03,1515157,0,77
AEMD,BOUNCED_WAITING,0,4,908.9,5,-4.2,False,0.1,1d,20,48,False,1m,1,False,27252,0,27252.0,51,0,1d.540t | 1d.90t | 1d.77t,2026-05-27T04:15:00.000,3.45,2026-05-27T07:30:00.000,2.76,3.74,2.6746,11.48,10,0,True,16.66,1151058,0,51
