ticker,side,tier,fem,mode,entry,stop,t1,t2,shares,rr,spy_regime,current_price,entry_type,n_gaps_above,gap_above_conviction,scan_date,asof
HAWK,LONG,CONVICTION,66.8,BULL_BOUNCE_CONFIRMED,33.3,30.3,34.96,,33,0.55,FAVORABLE,33.3,LIMIT,5,COMPRESSION,2026-06-01,2026-06-01T05:34:36.121934
AXON,SHORT,CONVICTION,66.7,BEAR_REJECTION_PENDING,464.1,508.78,393.59,,2,1.58,FAVORABLE,455.0,LIMIT,4,CONVICTION,2026-06-01,2026-06-01T05:35:21.478332
EGO,LONG,CONVICTION,66.5,BULL_BOUNCE_PENDING,32.54,31.43,35.54,35.51,90,2.71,FAVORABLE,33.2,LIMIT,5,MINOR,2026-06-01,2026-06-01T05:32:06.169354
GLNG,LONG,CONVICTION,66.4,BULL_BOUNCE_PENDING,48.76,47.74,52.02,51.99,98,3.22,FAVORABLE,49.75,LIMIT,5,COMPRESSION,2026-06-01,2026-06-01T05:36:38.041483
ZETA,LONG,CONVICTION,66.3,BULL_BOUNCE_PENDING,23.52,22.83,24.7,,145,1.72,FAVORABLE,24.0,LIMIT,0,NONE,2026-06-01,2026-06-01T05:30:14.301927
STEP,SHORT,CONVICTION,66.2,BEAR_REJECTION_PENDING,50.3,52.56,44.7,43.66,44,2.47,FAVORABLE,49.31,LIMIT,5,COMPRESSION,2026-06-01,2026-06-01T05:40:09.270350
CVLT,LONG,CONVICTION,66.1,BULL_BOUNCE_PENDING,118.42,116.97,134.42,129.98,68,10.98,FAVORABLE,118.75,LIMIT,2,CONVICTION,2026-06-01,2026-06-01T05:32:59.211017
SION,LONG,CONVICTION,66.1,BULL_BOUNCE_PENDING,41.96,40.71,44.06,,79,1.68,FAVORABLE,42.82,LIMIT,2,MINOR,2026-06-01,2026-06-01T05:33:13.253113
GTLB,LONG,CONVICTION,66.0,BULL_BOUNCE_PENDING,31.34,30.24,34.92,34.4,91,3.26,FAVORABLE,31.98,LIMIT,5,COMPRESSION,2026-06-01,2026-06-01T05:31:01.476216
BLZE,LONG,CONVICTION,66.0,BULL_BOUNCE_PENDING,8.27,7.53,8.68,,135,0.56,FAVORABLE,8.44,LIMIT,0,NONE,2026-06-01,2026-06-01T05:32:08.889236
CNXC,LONG,CONVICTION,66.0,BULL_BOUNCE_PENDING,27.72,25.92,29.11,,55,0.77,FAVORABLE,28.29,LIMIT,5,COMPRESSION,2026-06-01,2026-06-01T05:32:31.930313
SPT,LONG,CONVICTION,66.0,BULL_BOUNCE_CONFIRMED,7.7,7.31,8.51,,258,2.09,FAVORABLE,7.7,LIMIT,5,COMPRESSION,2026-06-01,2026-06-01T05:33:55.341072
THRY,LONG,CONVICTION,66.0,BULL_BOUNCE_PENDING,3.81,3.5,4.0,,323,0.62,FAVORABLE,3.89,LIMIT,5,MINOR,2026-06-01,2026-06-01T05:39:03.765195
GDRX,LONG,CONVICTION,66.0,BULL_BOUNCE_PENDING,2.89,2.79,3.36,,959,4.5,FAVORABLE,2.95,LIMIT,3,COMPRESSION,2026-06-01,2026-06-01T05:40:16.094429
AVR,LONG,CONVICTION,66.0,BULL_BOUNCE_CONFIRMED,8.62,8.32,9.56,9.6,338,3.19,FAVORABLE,8.6182,LIMIT,5,COMPRESSION,2026-06-01,2026-06-01T05:40:21.325622
CTOS,LONG,CONVICTION,66.0,BULL_BOUNCE_PENDING,9.39,8.91,9.86,,206,0.97,FAVORABLE,9.58,LIMIT,4,MINOR,2026-06-01,2026-06-01T05:40:37.124876
GDYN,LONG,CONVICTION,66.0,BULL_BOUNCE_PENDING,7.03,6.69,8.14,8.14,293,3.27,FAVORABLE,7.17,LIMIT,5,COMPRESSION,2026-06-01,2026-06-01T05:40:58.702080
GRPN,LONG,CONVICTION,66.0,BULL_BOUNCE_CONFIRMED,20.74,19.81,21.78,,107,1.12,FAVORABLE,20.74,LIMIT,4,MINOR,2026-06-01,2026-06-01T05:43:00.902947
AMPG,LONG,CONVICTION,66.0,BULL_BOUNCE_CONFIRMED,4.52,4.2,5.11,,314,1.85,FAVORABLE,4.52,LIMIT,5,MINOR,2026-06-01,2026-06-01T05:43:40.402739
BFAM,SHORT,CONVICTION,65.7,BEAR_REJECTION_PENDING,63.87,68.09,60.68,,23,0.76,FAVORABLE,62.62,LIMIT,5,COMPRESSION,2026-06-01,2026-06-01T05:35:38.569606
RHI,LONG,CONVICTION,65.6,BULL_BOUNCE_PENDING,28.81,26.86,33.66,33.78,51,2.48,FAVORABLE,29.4,LIMIT,5,COMPRESSION,2026-06-01,2026-06-01T05:31:59.140148
SON,LONG,CONVICTION,65.5,BULL_BOUNCE_PENDING,47.53,46.27,52.8,51.05,79,4.17,FAVORABLE,48.5,LIMIT,5,CONVICTION,2026-06-01,2026-06-01T05:40:16.748777
FVRR,LONG,CONVICTION,65.4,BULL_BOUNCE_PENDING,11.03,10.87,11.68,11.61,661,4.33,FAVORABLE,11.09,LIMIT,5,VACUUM,2026-06-01,2026-06-01T05:37:51.656334
SMMT,LONG,CONVICTION,65.3,BULL_BOUNCE_PENDING,18.28,17.61,19.6,,150,1.99,FAVORABLE,18.65,LIMIT,5,MINOR,2026-06-01,2026-06-01T05:29:26.643311
BL,LONG,CONVICTION,65.3,BULL_BOUNCE_PENDING,29.36,26.67,30.83,,37,0.54,FAVORABLE,29.96,LIMIT,5,COMPRESSION,2026-06-01,2026-06-01T05:33:43.839816
IART,LONG,CONVICTION,65.2,BULL_BOUNCE_PENDING,15.72,13.45,16.51,,43,0.35,FAVORABLE,16.04,LIMIT,5,MINOR,2026-06-01,2026-06-01T05:41:24.680101
MYGN,LONG,CONVICTION,65.1,BULL_BOUNCE_PENDING,3.92,3.8,4.26,4.38,808,2.75,FAVORABLE,4.0,LIMIT,5,COMPRESSION,2026-06-01,2026-06-01T05:43:25.827241
PD,LONG,CONVICTION,65.0,CHANNEL_BREAKOUT,10.08,9.89,11.38,10.81,526,6.85,FAVORABLE,10.08,LIMIT,5,COMPRESSION,2026-06-01,2026-06-01T05:30:43.564423
MRCY,LONG,CONVICTION,65.0,DCB_BREAKOUT,113.2,110.88,118.86,,43,2.44,FAVORABLE,113.2,LIMIT,0,NONE,2026-06-01,2026-06-01T05:32:46.945464
TRNS,SHORT,CONVICTION,65.0,BEAR_REJECTION_PENDING,86.21,99.63,81.9,,7,0.32,FAVORABLE,84.52,LIMIT,3,CONVICTION,2026-06-01,2026-06-01T05:33:17.844367
INGM,LONG,CONVICTION,65.0,BULL_BOUNCE_PENDING,27.68,27.08,29.07,,166,2.3,FAVORABLE,28.25,LIMIT,0,NONE,2026-06-01,2026-06-01T05:34:14.194798
YEXT,LONG,CONVICTION,65.0,CHANNEL_BREAKOUT,4.37,4.19,4.7,4.98,564,1.86,FAVORABLE,4.37,LIMIT,5,COMPRESSION,2026-06-01,2026-06-01T05:34:20.346878
