ticker,side,tier,fem,mode,entry,stop,t1,t2,shares,rr,last_px,high,low,volume,chg_pct,outcome,result_r,spy_regime,entry_type,checked_at,scan_date
RGTI,LONG,CONVICTION,81.2,BULL_BOUNCE_PENDING,20.61,16.8,21.64,,26,0.27,22.040000915527344,22.100000381469727,18.40999984741211,143132809.0,4.8,TARGET_HIT,1.5,CHOP,LIMIT,2026-05-22_0025,2026-05-21
IREN,LONG,CONVICTION,81.1,BULL_BOUNCE_PENDING,54.64,52.21,58.41,63.84,41,1.55,58.060001373291016,58.099998474121094,53.20000076293945,49575218.0,4.12,WINNING,1.41,CHOP,LIMIT,2026-05-22_0025,2026-05-21
QBTS,LONG,CONVICTION,80.1,BULL_BOUNCE_PENDING,23.66,19.2,24.84,,22,0.27,25.739999771118164,25.829999923706055,21.610000610351562,114599943.0,6.63,TARGET_HIT,1.5,CHOP,LIMIT,2026-05-22_0025,2026-05-21
IMVT,LONG,CONVICTION,80.0,BULL_BOUNCE_PENDING,35.8,33.67,37.59,,46,0.84,34.130001068115234,35.7599983215332,32.779998779296875,4542746.0,2.03,STOPPED,-1.0,CHOP,STOP,2026-05-22_0025,2026-05-21
SEDG,SHORT,CONVICTION,79.0,DOUBLE_REJECTION_SHORT,60.19,60.51,56.22,55.18,310,12.3,63.0,65.16000366210938,55.939998626708984,6731990.0,4.68,STOPPED,-1.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
BIRK,LONG,CONVICTION,77.5,BULL_BOUNCE_PENDING,38.47,33.04,40.4,,18,0.35,39.66999816894531,40.18000030517578,36.62200164794922,7667160.0,1.04,WINNING,0.22,CHOP,LIMIT,2026-05-22_0025,2026-05-21
AAP,LONG,CONVICTION,77.1,BULL_BOUNCE_PENDING,59.38,50.98,62.35,,11,0.35,58.619998931884766,62.189998626708984,55.04100036621094,8174426.0,-3.25,LOSING,-0.09,CHOP,LIMIT,2026-05-22_0025,2026-05-21
QUCY,LONG,CONVICTION,76.4,BULL_BOUNCE_PENDING,3.99,3.27,4.19,,139,0.28,3.559999942779541,4.869999885559082,3.3299999237060547,45193299.0,-12.52,TARGET_HIT,1.5,CHOP,LIMIT,2026-05-22_0025,2026-05-21
AAOI,SHORT,CONVICTION,76.1,BEAR_REJECTION_PENDING,177.67,204.59,168.79,,3,0.33,176.80999755859375,182.17999267578125,163.66000366210938,9816439.0,1.5,TARGET_HIT,1.5,CHOP,LIMIT,2026-05-22_0025,2026-05-21
FIVN,LONG,CONVICTION,76.0,BULL_BOUNCE_PENDING,21.8,17.11,22.9,,21,0.23,21.84000015258789,23.059999465942383,21.549999237060547,3200874.0,-1.84,TARGET_HIT,1.5,CHOP,LIMIT,2026-05-22_0025,2026-05-21
SYRE,SHORT,CONVICTION,76.0,DOUBLE_REJECTION_SHORT,72.04,73.03,67.0,63.27,101,5.11,74.31999969482422,74.43000030517578,70.88999938964844,730461.0,3.16,STOPPED,-1.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
ETON,SHORT,CONVICTION,75.0,DOUBLE_REJECTION_SHORT,34.49,34.86,30.63,33.44,267,10.34,35.0,35.654998779296875,33.88999938964844,596440.0,1.48,STOPPED,-1.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
INM,SHORT,CONVICTION,74.0,DOUBLE_REJECTION_SHORT,1.7,1.73,1.6,1.56,3276,3.28,1.7300000190734863,1.75,1.5299999713897705,2032402.0,1.76,STOPPED,-1.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
MU,SHORT,CONVICTION,73.9,BEAR_REJECTION_PENDING,766.61,784.91,731.99,676.45,5,1.89,762.0999755859375,764.9000244140625,732.22998046875,42072334.0,1.13,NO_FILL,0.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
CORT,LONG,CONVICTION,73.3,BULL_BOUNCE_PENDING,59.51,57.01,62.49,,39,1.19,59.689998626708984,59.959999084472656,57.720001220703125,855199.0,0.67,WINNING,0.07,CHOP,STOP,2026-05-22_0025,2026-05-21
AUUD,LONG,CONVICTION,73.2,BULL_BOUNCE_CONFIRMED,1.69,1.46,1.77,,447,0.38,1.600000023841858,1.7699999809265137,1.5499999523162842,4477395.0,-5.1,LOSING,-0.39,CHOP,LIMIT,2026-05-22_0025,2026-05-21
BLFS,LONG,CONVICTION,73.0,CHANNEL_GAP_BREAKOUT_LONG,24.0,23.72,24.93,25.84,355,3.33,24.739999771118164,24.770000457763672,23.639999389648438,1058492.0,3.08,STOPPED,-1.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
MDA,LONG,CONVICTION,73.0,BULL_BOUNCE_PENDING,40.66,37.75,42.69,,34,0.7,41.189998626708984,42.040000915527344,39.290000915527344,724474.0,-0.72,WINNING,0.18,CHOP,LIMIT,2026-05-22_0025,2026-05-21
VAC,SHORT,CONVICTION,73.0,BEAR_REJECTION_PENDING,72.18,74.25,67.66,65.25,48,2.18,74.62999725341797,74.94999694824219,70.7699966430664,398866.0,4.06,STOPPED,-1.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
ORBS,SHORT,CONVICTION,72.5,DOUBLE_REJECTION_SHORT,0.89,0.9,0.76,0.75,5895,7.31,0.9100000262260437,0.9549999833106995,0.8587999939918518,19997761.0,2.66,STOPPED,-1.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
GCL,SHORT,CONVICTION,72.0,DOUBLE_REJECTION_SHORT,0.7,0.71,0.65,0.65,13358,6.51,0.7674000263214111,0.8151000142097473,0.6100000143051147,3741750.0,9.68,STOPPED,-1.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
NOK,SHORT,CONVICTION,72.0,DOUBLE_REJECTION_SHORT,14.05,14.19,12.97,13.65,723,7.81,14.180000305175781,14.220000267028809,13.619999885559082,60298116.0,0.93,STOPPED,-1.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
SIMO,SHORT,CONVICTION,72.0,DOUBLE_REJECTION_SHORT,256.79,261.1,242.17,242.17,23,3.4,263.510009765625,265.114990234375,252.50999450683594,623106.0,2.62,STOPPED,-1.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
CYRX,SHORT,CONVICTION,72.0,DOUBLE_REJECTION_SHORT,13.94,14.24,13.31,12.27,334,2.11,14.220000267028809,14.300000190734863,13.795000076293945,1133249.0,2.01,STOPPED,-1.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
CVCO,SHORT,CONVICTION,71.5,BEAR_REJECTION_PENDING,482.82,489.66,466.35,422.81,14,2.41,491.489990234375,497.5799865722656,478.05999755859375,129189.0,1.92,STOPPED,-1.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
PENG,LONG,CONVICTION,71.1,BULL_BOUNCE_PENDING,48.38,47.06,50.8,,75,1.83,48.810001373291016,50.61000061035156,46.21099853515625,3172504.0,-0.3,STOPPED,-1.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
RXO,LONG,CONVICTION,71.0,CHANNEL_GAP_BREAKOUT_LONG,23.75,22.56,24.94,,84,1.0,24.360000610351562,24.975000381469727,23.010099411010742,3379225.0,2.57,TARGET_HIT,1.5,CHOP,LIMIT,2026-05-22_0025,2026-05-21
ORIS,LONG,CONVICTION,71.0,BULL_BOUNCE_PENDING,0.48,0.4,0.5,,1322,0.32,0.47999998927116394,0.47999998927116394,0.32659998536109924,18824896.0,16.62,STOPPED,-1.0,CHOP,STOP,2026-05-22_0025,2026-05-21
INTC,SHORT,CONVICTION,70.5,BEAR_REJECTION_PENDING,117.08,130.09,111.23,,7,0.45,118.5,119.41000366210938,113.16999816894531,101773804.0,3.24,LOSING,-0.11,CHOP,LIMIT,2026-05-22_0025,2026-05-21
VELO,LONG,CONVICTION,70.2,BULL_BOUNCE_PENDING,19.55,18.5,20.53,,94,0.93,20.329999923706055,20.989999771118164,17.56999969482422,3842292.0,1.9,STOPPED,-1.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
TENB,SHORT,CONVICTION,70.1,BEAR_REJECTION_PENDING,24.82,25.59,23.3,22.41,129,1.96,25.170000076293945,26.15999984741211,24.29829978942871,4911612.0,1.9,STOPPED,-1.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
FICO,SHORT,CONVICTION,70.1,BEAR_REJECTION_PENDING,1237.5,1252.89,1081.39,1189.8,6,10.15,1228.0999755859375,1258.4100341796875,1200.3199462890625,334227.0,-0.68,STOPPED,-1.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
CIEN,SHORT,CONVICTION,70.0,DOUBLE_REJECTION_SHORT,584.66,589.8,563.49,554.21,19,4.12,587.22998046875,590.0250244140625,555.7100219726562,1545093.0,0.44,STOPPED,-1.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
HIVE,LONG,CONVICTION,70.0,BULL_BOUNCE_PENDING,3.9,3.53,4.09,,268,0.52,3.8499999046325684,3.9800000190734863,3.700000047683716,42034283.0,3.08,LOSING,-0.14,CHOP,STOP,2026-05-22_0025,2026-05-21
VIVO,LONG,CONVICTION,70.0,BULL_BOUNCE_PENDING,4.79,4.52,5.02,,373,0.89,5.159999847412109,5.359099864959717,4.46999979019165,3539296.0,7.5,STOPPED,-1.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
XNDU,SHORT,CONVICTION,70.0,DOUBLE_REJECTION_SHORT,14.79,14.99,14.1,13.3,512,3.54,14.449999809265137,15.59000015258789,13.850000381469727,8717807.0,-2.3,STOPPED,-1.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
NVDA,LONG,CONVICTION,69.4,BULL_BOUNCE_PENDING,215.31,210.44,233.0,227.59,20,3.63,219.50999450683594,227.39990234375,217.92999267578125,200994166.0,-0.09,NO_FILL,0.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
S,SHORT,CONVICTION,69.0,DOUBLE_REJECTION_SHORT,18.02,18.41,16.2,17.1,260,4.76,18.110000610351562,18.295000076293945,17.780000686645508,6559555.0,0.47,LOSING,-0.23,CHOP,LIMIT,2026-05-22_0025,2026-05-21
BKKT,LONG,CONVICTION,69.0,BULL_BOUNCE_PENDING,9.97,8.68,10.47,,77,0.39,12.319999694824219,12.579999923706055,9.899999618530273,4624034.0,21.14,TARGET_HIT,1.5,CHOP,LIMIT,2026-05-22_0025,2026-05-21
RBRK,SHORT,CONVICTION,69.0,DOUBLE_REJECTION_SHORT,65.91,66.79,61.0,59.7,112,5.53,64.79000091552734,66.53500366210938,64.67500305175781,2075007.0,-1.69,WINNING,1.27,CHOP,LIMIT,2026-05-22_0025,2026-05-21
SAIA,LONG,CONVICTION,69.0,BULL_BOUNCE_PENDING,452.01,445.7,473.14,469.07,15,3.35,458.25,465.69000244140625,445.6700134277344,330962.0,0.88,STOPPED,-1.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
DGXX,LONG,CONVICTION,69.0,BULL_BOUNCE_PENDING,7.64,6.6,8.03,,95,0.36,7.699999809265137,7.989999771118164,7.150000095367432,9126869.0,-1.28,WINNING,0.06,CHOP,LIMIT,2026-05-22_0025,2026-05-21
MXL,LONG,CONVICTION,68.6,BULL_BOUNCE_PENDING,94.97,91.69,105.0,106.6,30,3.06,99.66999816894531,102.45909881591797,94.0000991821289,2988557.0,3.75,WINNING,1.43,CHOP,LIMIT,2026-05-22_0025,2026-05-21
FCEL,SHORT,CONVICTION,68.0,DOUBLE_REJECTION_SHORT,23.46,23.77,21.01,21.01,320,7.86,26.3799991607666,26.899999618530273,19.739999771118164,22234104.0,12.45,STOPPED,-1.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
PURR,LONG,CONVICTION,67.6,BULL_BOUNCE_PENDING,8.57,8.08,8.99,,205,0.88,8.479999542236328,8.78499984741211,8.154999732971191,23673716.0,-2.97,LOSING,-0.18,CHOP,LIMIT,2026-05-22_0025,2026-05-21
OUST,LONG,CONVICTION,67.6,BULL_BOUNCE_PENDING,32.34,30.39,36.85,,51,2.31,35.09000015258789,35.349998474121094,30.780000686645508,4825933.0,6.33,WINNING,1.41,CHOP,LIMIT,2026-05-22_0025,2026-05-21
CLSK,SHORT,CONVICTION,67.0,BEAR_REJECTION_PENDING,15.94,17.51,15.14,,63,0.51,15.760000228881836,15.954999923706055,15.274399757385254,20145485.0,0.86,WINNING,0.11,CHOP,LIMIT,2026-05-22_0025,2026-05-21
NIO,LONG,CONVICTION,66.9,BULL_BOUNCE_PENDING,5.35,4.92,6.17,,231,1.91,5.599999904632568,5.945000171661377,5.409999847412109,96107045.0,2.64,NO_FILL,0.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
NIVF,LONG,CONVICTION,66.8,BULL_BOUNCE_PENDING,1.2,0.82,1.26,,263,0.16,1.1200000047683716,1.600000023841858,0.9700000286102295,92855540.0,-8.18,TARGET_HIT,1.5,CHOP,LIMIT,2026-05-22_0025,2026-05-21
APPS,LONG,CONVICTION,66.2,CHANNEL_GAP_BREAKOUT_LONG,4.58,4.42,4.81,,615,1.41,4.460000038146973,4.679999828338623,4.449999809265137,3107573.0,-2.73,LOSING,-0.75,CHOP,LIMIT,2026-05-22_0025,2026-05-21
AGYS,SHORT,CONVICTION,66.0,BEAR_REJECTION_PENDING,79.98,82.21,68.0,74.0,44,5.37,79.5,80.45999908447266,77.69999694824219,391771.0,-0.04,WINNING,0.22,CHOP,LIMIT,2026-05-22_0025,2026-05-21
SITM,SHORT,CONVICTION,66.0,BEAR_REJECTION_PENDING,708.14,727.98,612.53,,5,4.82,711.7899780273438,723.6998901367188,693.22998046875,649779.0,0.93,LOSING,-0.18,CHOP,LIMIT,2026-05-22_0025,2026-05-21
TPB,SHORT,CONVICTION,66.0,BEAR_REJECTION_PENDING,90.07,91.66,87.1,77.81,63,1.87,91.5199966430664,91.5199966430664,88.86000061035156,543383.0,1.68,LOSING,-0.91,CHOP,LIMIT,2026-05-22_0025,2026-05-21
MNTS,SHORT,CONVICTION,66.0,DOUBLE_REJECTION_SHORT,7.11,7.26,6.88,6.12,684,1.57,7.550000190734863,7.639999866485596,5.900000095367432,3862837.0,6.19,STOPPED,-1.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
APLD,LONG,CONVICTION,65.9,BULL_BOUNCE_PENDING,45.17,41.74,47.43,,29,0.66,48.02000045776367,48.56999969482422,42.29999923706055,42816282.0,4.18,TARGET_HIT,1.5,CHOP,LIMIT,2026-05-22_0025,2026-05-21
VRNS,LONG,CONVICTION,65.8,BULL_BOUNCE_PENDING,30.66,29.99,32.1,34.27,149,2.16,30.65999984741211,31.139999389648438,30.18000030517578,1608004.0,-0.52,LOSING,-0.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
AS,LONG,CONVICTION,65.0,BULL_BOUNCE_PENDING,34.41,33.83,38.69,37.98,172,7.38,35.33000183105469,35.83000183105469,34.369998931884766,3819912.0,1.2,WINNING,1.5,CHOP,LIMIT,2026-05-22_0025,2026-05-21
LSCC,LONG,CONVICTION,65.0,CHANNEL_GAP_BREAKOUT_LONG,139.39,134.45,146.36,,20,1.41,139.35000610351562,141.50999450683594,136.22000122070312,2278365.0,-0.03,LOSING,-0.01,CHOP,LIMIT,2026-05-22_0025,2026-05-21
AGAE,LONG,CONVICTION,65.0,BULL_BOUNCE_PENDING,0.53,0.51,0.57,,4450,1.76,0.6108999848365784,0.628000020980835,0.5199999809265137,1557862.0,12.69,TARGET_HIT,1.5,CHOP,LIMIT,2026-05-22_0025,2026-05-21
GPUS,LONG,CONVICTION,64.5,CHANNEL_GAP_BREAKOUT_LONG,0.15,0.15,0.16,,33898,2.55,0.1574999988079071,0.15770000219345093,0.14499999582767487,38296110.0,4.51,STOPPED,-1.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
AMPG,LONG,CONVICTION,64.3,BULL_BOUNCE_PENDING,4.69,4.46,4.93,,422,0.99,5.289999961853027,5.599999904632568,4.349999904632568,11641317.0,10.44,STOPPED,-1.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
PSNL,SHORT,CONVICTION,64.2,BEAR_REJECTION_PENDING,8.53,8.9,7.21,7.54,265,3.49,8.25,8.579999923706055,7.699999809265137,4131852.0,-1.32,WINNING,0.76,CHOP,LIMIT,2026-05-22_0025,2026-05-21
BLDP,LONG,CONVICTION,64.1,CHANNEL_GAP_BREAKOUT_LONG,5.04,4.79,5.29,,396,1.0,5.429999828338623,5.429999828338623,4.625,20874280.0,7.74,STOPPED,-1.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
TATT,SHORT,CONVICTION,64.1,BEAR_REJECTION_PENDING,38.11,38.87,32.46,33.3,130,7.37,37.20000076293945,38.279998779296875,36.2599983215332,258086.0,-0.43,WINNING,1.2,CHOP,LIMIT,2026-05-22_0025,2026-05-21
MLAB,SHORT,CONVICTION,64.0,DOUBLE_REJECTION_SHORT,105.4,107.25,93.69,96.72,54,6.32,109.11000061035156,110.12999725341797,101.81999969482422,132631.0,3.52,STOPPED,-1.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
TTMI,SHORT,CONVICTION,64.0,DOUBLE_REJECTION_SHORT,175.75,177.86,168.15,165.94,47,3.6,174.5500030517578,178.67990112304688,167.47000122070312,1737938.0,-0.68,STOPPED,-1.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
OXSQ,LONG,CONVICTION,64.0,BULL_BOUNCE_PENDING,1.35,1.27,1.48,1.55,1353,1.83,1.3799999952316284,1.4199999570846558,1.309999942779541,3849510.0,0.36,WINNING,0.37,CHOP,LIMIT,2026-05-22_0025,2026-05-21
GDDY,SHORT,CONVICTION,63.5,BEAR_REJECTION_PENDING,93.67,97.85,86.38,,23,1.74,91.55999755859375,92.41000366210938,88.97000122070312,1214091.0,-0.29,NO_FILL,0.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
IMMX,LONG,CONVICTION,63.0,BULL_BOUNCE_PENDING,7.96,7.6,8.76,9.14,274,2.19,8.670000076293945,9.479999542236328,8.005000114440918,5930257.0,6.73,NO_FILL,0.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
ABVX,LONG,CONVICTION,62.8,BULL_BOUNCE_PENDING,117.68,113.16,133.05,133.05,22,3.4,124.02999877929688,126.41000366210938,117.0000991821289,1648089.0,3.29,WINNING,1.4,CHOP,LIMIT,2026-05-22_0025,2026-05-21
POET,SHORT,CONVICTION,62.6,BEAR_REJECTION_PENDING,14.37,15.13,13.05,,130,1.72,14.819999694824219,15.329999923706055,13.84000015258789,50492632.0,3.17,STOPPED,-1.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
GRAL,LONG,CONVICTION,62.1,BULL_BOUNCE,65.78,53.9,105.66,,8,3.35,67.86000061035156,68.38999938964844,63.03010177612305,502114.0,3.15,WINNING,0.18,CHOP,LIMIT,2026-05-22_0025,2026-05-21
NPKI,SHORT,CONVICTION,62.0,DOUBLE_REJECTION_SHORT,15.33,15.73,13.88,13.56,252,3.66,15.270000457763672,15.529999732971191,15.154399871826172,602312.0,-0.39,WINNING,0.15,CHOP,LIMIT,2026-05-22_0025,2026-05-21
VSAT,LONG,CONVICTION,62.0,CHANNEL_GAP_BREAKOUT_LONG,76.7,72.86,80.54,,26,1.0,70.76000213623047,77.76000213623047,69.76000213623047,2771915.0,-7.74,STOPPED,-1.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
FMAC,LONG,CONVICTION,62.0,BULL_BOUNCE_PENDING,9.94,9.87,10.44,,1436,7.14,9.960000038146973,9.960000038146973,9.949999809265137,16019.0,0.1,NO_FILL,0.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
MEHA,SHORT,CONVICTION,61.9,BEAR_REJECTION_PENDING,0.08,0.08,0.07,,12471,0.47,0.07649999856948853,0.08139999955892563,0.07249999791383743,14788212.0,1.32,STOPPED,-1.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
MBLY,SHORT,CONVICTION,61.7,BEAR_REJECTION_PENDING,9.96,10.29,8.7,8.8,297,3.74,9.800000190734863,9.970000267028809,9.440099716186523,4092496.0,0.41,WINNING,0.48,CHOP,LIMIT,2026-05-22_0025,2026-05-21
ALK,SHORT,CONVICTION,61.4,BEAR_REJECTION_PENDING,40.02,41.04,37.04,37.69,98,2.93,41.09000015258789,41.30500030517578,38.5,3100486.0,4.71,STOPPED,-1.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
SFM,SHORT,CONVICTION,61.1,BEAR_REJECTION_PENDING,86.53,87.72,82.88,75.51,84,3.07,85.38999938964844,87.68000030517578,83.12000274658203,2353424.0,-0.7,WINNING,0.96,CHOP,LIMIT,2026-05-22_0025,2026-05-21
CDNA,LONG,CONVICTION,61.0,BULL_BOUNCE_PENDING,20.89,17.83,21.94,,32,0.34,21.56999969482422,22.239999771118164,20.5,654797.0,1.17,TARGET_HIT,1.5,CHOP,LIMIT,2026-05-22_0025,2026-05-21
HUN,SHORT,CONVICTION,61.0,BEAR_REJECTION_PENDING,14.34,15.03,12.51,,144,2.64,14.380000114440918,14.555000305175781,13.609999656677246,3586870.0,2.28,LOSING,-0.06,CHOP,LIMIT,2026-05-22_0025,2026-05-21
STFS,LONG,CONVICTION,61.0,BULL_BOUNCE_PENDING,8.8,8.11,9.24,,145,0.64,8.710000038146973,10.036800384521484,8.100099563598633,1119354.0,-1.47,STOPPED,-1.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
SOPAQ,SHORT,CONVICTION,61.0,BEAR_REJECTION_PENDING,0.03,0.03,0.03,,40849,0.65,0.03999999910593033,0.04500000178813934,0.027499999850988388,1756082.0,28.62,STOPPED,-1.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
CRML,SHORT,CONVICTION,60.7,BEAR_REJECTION_PENDING,11.11,11.45,10.04,10.34,290,3.11,11.140000343322754,11.545000076293945,10.899999618530273,11789388.0,0.5,STOPPED,-1.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
ALP,SHORT,CONVICTION,60.5,BEAR_REJECTION_PENDING,0.33,0.35,0.29,,6434,2.78,0.38519999384880066,0.44780001044273376,0.3253999948501587,56259727.0,15.26,STOPPED,-1.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
EVTV,LONG,CONVICTION,60.5,BULL_BOUNCE_PENDING,2.13,2.04,2.32,2.46,1108,2.11,2.190000057220459,2.2509000301361084,2.0999999046325684,388693.0,2.34,WINNING,0.67,CHOP,LIMIT,2026-05-22_0025,2026-05-21
BBBY,SHORT,CONVICTION,60.4,BEAR_REJECTION_PENDING,5.64,5.74,5.38,5.11,938,2.4,5.730000019073486,5.775000095367432,5.167500019073486,3181411.0,3.71,STOPPED,-1.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
IBRX,SHORT,CONVICTION,60.3,BEAR_REJECTION_PENDING,7.83,8.09,6.78,6.85,382,4.01,7.739999771118164,7.900000095367432,7.260000228881836,21371500.0,0.85,WINNING,0.35,CHOP,LIMIT,2026-05-22_0025,2026-05-21
IPGP,LONG,CONVICTION,60.1,CHANNEL_GAP_BREAKOUT_LONG,121.0,114.95,130.47,,16,1.57,120.5199966430664,122.86000061035156,119.0,583265.0,-0.4,LOSING,-0.08,CHOP,LIMIT,2026-05-22_0025,2026-05-21
