ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,stop_adjusted,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,path,gap_quality,vol_ratio,vol_hot,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,tfs,cluster_top,cluster_bot,total_genesis,vol_ratio_today,vol_ratio_3d,hot_days,move_pct,total_gaps,n_timeframes,float_m,news
INFQ,Long,BREAKOUT,T3-LONG_WATCH,74,15.57,14.55,17.61,,2.0,1.02,False,15.57,0.0,INSIDE,1,1,HIGHWAY,EXCITED,3.1,True,HIGH,0.07,15.35,15.0,15.7,4.7,PREMIUM,MID,705,5,298,12.1,A,,,,,,,,,,,,
LAC,Long,PULLBACK,T1-STRONG_LONG,100,4.87,4.23,6.15,,2.0,0.64,,4.87,3.9,APPROACH,10,7,OPEN_ROAD,EXCITED,,,MEGA,0.04,4.62,4.56,4.68,2.6,PREMIUM,DISCOUNT,116,5,41,7.2,B,"10m,15m,1d,1h,30m,4h,5m",4.68,4.38,195496316.0,1.8,1.2,0.0,22.2,40.0,8.0,322.1,
DELL,Long,PULLBACK,T3-LONG_WATCH,72,179.57,172.3108,194.0884,,2.0,7.2592,,193.09,7.0,WAITING,2,2,HIGHWAY,EXCITED,,,MEGA,0.02,178.425,177.28,179.57,1.3,PREMIUM,MID,5341,8,4602,99.9,A,"30m,5m",179.57,177.64,95199140.0,1.1,0.8,0.0,9.5,19.0,8.0,295.07,
COIN,Long,PULLBACK,T1-STRONG_LONG,97,185.5,178.8777,199.1,196.645,2.1,6.6223,,199.82,7.2,WAITING,4,4,HIGHWAY,EXCITED,,,MEGA,0.04,196.645,195.9,197.39,0.8,PREMIUM,DISCOUNT,6244,5,6244,3.8,C,"1d,1h,30m,4h",185.5,184.41,1536405903.0,1.1,1.1,0.0,23.0,32.0,8.0,219.96,
VZLA,Long,BOUNCE,T2-LONG,95,3.43,3.2107,3.8686,3.435,2.0,0.2193,,3.43,1.7,CLOSE,2,2,OPEN_ROAD,EXCITED,,,MEGA,0.03,3.435,3.42,3.45,0.9,DISCOUNT,DISCOUNT,36,6,17,2.0,C,"1d,4h",3.37,3.31,46682844.0,1.3,1.2,0.0,10.2,37.0,8.0,330.63,
TEAM,Long,BOUNCE,T1-STRONG_LONG,100,68.73,64.0782,78.0336,,2.0,4.6518,,68.73,0.5,CLOSE,4,4,OPEN_ROAD,EXCITED,,,HIGH,0.04,67.85,66.0,69.7,5.6,PREMIUM,DISCOUNT,1037,3,399,5.9,B,"1d,1h,30m,4h",68.4,66.06,1715087386.0,1.6,1.5,0.0,26.9,38.0,8.0,167.9,
SGML,Long,PULLBACK,T1-STRONG_LONG,100,19.22,17.751,22.158,,2.0,1.469,,20.7,7.1,WAITING,7,7,HIGHWAY,EXCITED,,,HIGH,0.12,18.87,18.22,19.52,7.1,PREMIUM,MID,3267,10,1897,99.9,A,"10m,15m,1d,1h,30m,4h,5m",19.22,18.3,1727607212.0,1.9,1.1,0.0,51.0,51.0,8.0,58.68,
UEC,Long,BOUNCE,T1-STRONG_LONG,100,15.16,14.3754,17.69,,3.2,0.7846,,15.16,1.2,CLOSE,4,4,OPEN_ROAD,EXCITED,,,MEGA,0.01,14.9,14.82,14.98,1.1,PREMIUM,MID,388,10,136,16.7,A,"10m,15m,1d,5m",14.98,14.82,143625920.0,1.1,1.0,0.0,18.4,30.0,8.0,481.56,
AEHR,Long,BREAKOUT,T1-STRONG_LONG,100,81.01,69.55,103.93,,2.0,11.46,False,80.85,0.0,INSIDE,6,6,HIGHWAY,EXCITED,2.2,True,MED,0.19,78.94,73.22,84.66,15.6,PREMIUM,DISCOUNT,5680,18,5430,99.9,A,,,,,,,,,,,,
USAS,Long,PULLBACK,T1-STRONG_LONG,100,5.885,5.5484,7.1699,6.145,3.8,0.3366,,6.44,8.6,WAITING,2,2,HIGHWAY,EXCITED,,,MEGA,0.03,6.145,6.1,6.19,1.5,PREMIUM,DISCOUNT,609,12,215,11.3,A,"1d,4h",5.885,5.72,98141782.0,1.4,1.0,0.0,25.1,49.0,8.0,270.28,
ULCC,Long,BOUNCE,T1-STRONG_LONG,100,4.23,3.88,4.93,,2.0,0.35,,4.23,2.1,CLOSE,7,7,OPEN_ROAD,EXCITED,,,HIGH,0.11,4.07,4.0,4.14,3.5,PREMIUM,MID,245,6,131,7.8,B,"10m,15m,1d,1h,30m,4h,5m",4.14,4.0,132236946.0,1.7,1.3,0.0,21.9,38.0,8.0,57.89,
COHR,Long,PULLBACK,T1-STRONG_LONG,97,328.0,299.4002,385.1996,,2.0,28.5998,,328.0,4.0,APPROACH,7,7,HIGHWAY,EXCITED,,,HIGH,0.03,311.6,308.2,315.0,2.2,PREMIUM,MID,20650,14,6461,99.9,A,"10m,15m,1d,1h,30m,4h,5m",315.0,308.66,3264200912.0,1.1,0.8,0.0,20.4,37.0,8.0,176.61,
CLVT,Long,PULLBACK,T1-STRONG_LONG,100,2.51,2.391,3.13,,5.2,0.1189,,2.73,8.1,WAITING,8,7,HIGHWAY,EXCITED,,,MEGA,0.01,2.495,2.48,2.51,1.2,PREMIUM,DISCOUNT,166,3,158,14.7,B,"10m,15m,1d,1h,30m,4h,5m",2.51,2.465,33583782.0,1.3,1.0,0.0,30.5,47.0,8.0,474.1,
DDOG,Long,BOUNCE,T1-STRONG_LONG,100,123.47,117.5446,135.3208,124.585,2.0,5.9254,,123.47,0.3,CLOSE,4,4,OPEN_ROAD,EXCITED,,,MEGA,0.01,124.585,121.06,128.11,5.8,DISCOUNT,DISCOUNT,2277,4,1633,3.9,C,"1d,1h,30m,4h",123.15,121.18,975181222.0,1.5,1.2,0.0,27.7,37.0,8.0,325.03,
SOC,Long,PULLBACK,T3-LONG_WATCH,52,14.37,13.3569,16.3962,,2.0,1.0131,,14.37,4.0,APPROACH,2,2,OPEN_ROAD,EXCITED,,,HIGH,0.06,13.06,12.93,13.19,2.0,PREMIUM,PREMIUM,403,5,173,3.1,C,"1h,30m",13.8,13.77,2558505.0,1.5,1.0,0.0,20.8,26.0,8.0,75.1,
PGY,Long,PULLBACK,T1-STRONG_LONG,100,13.465,12.6876,15.0198,14.52,2.0,0.7774,,14.71,8.5,WAITING,4,4,OPEN_ROAD,EXCITED,,,HIGH,0.07,14.52,14.2,14.84,4.5,PREMIUM,DISCOUNT,783,8,454,2.9,C,"1d,1h,30m,4h",13.465,13.08,143111336.0,1.9,1.4,0.0,31.1,46.0,8.0,62.71,
HIMX,Long,PULLBACK,T1-STRONG_LONG,100,10.36,9.8746,11.3308,,2.0,0.4854,,11.27,8.1,WAITING,5,5,HIGHWAY,EXCITED,,,MEGA,0.02,10.27,10.18,10.36,1.8,PREMIUM,MID,520,8,257,99.9,A,"1d,1h,30m,4h,5m",10.36,10.18,136019208.0,2.2,1.5,1.0,25.8,33.0,8.0,247.07,
LAR,Long,PULLBACK,T1-STRONG_LONG,98,8.35,8.0219,9.0062,,2.0,0.3281,,9.21,9.3,WAITING,7,7,HIGHWAY,EXCITED,,,HIGH,0.03,8.31,8.27,8.35,1.0,PREMIUM,MID,560,14,112,99.9,A,"10m,15m,1d,1h,30m,4h,5m",8.35,8.27,61184402.0,1.4,0.8,0.0,29.1,44.0,8.0,137.89,
APPS,Long,BOUNCE,T3-LONG_WATCH,72,3.87,3.7248,4.1604,,2.0,0.1452,,3.87,0.5,CLOSE,2,2,OPEN_ROAD,EXCITED,,,HIGH,0.04,3.415,3.39,3.44,1.5,PREMIUM,PREMIUM,88,7,66,4.7,C,"1h,4h",3.8499,3.84,3227207.0,2.1,1.4,1.0,41.7,38.0,8.0,108.24,
INDI,Long,PULLBACK,T1-STRONG_LONG,93,3.02,2.8809,3.53,,3.7,0.1391,,3.29,8.2,WAITING,6,6,HIGHWAY,EXCITED,,,MEGA,0.02,2.995,2.97,3.02,1.7,PREMIUM,MID,38,4,14,7.3,C,"10m,15m,1d,30m,4h,5m",3.02,2.97,25559795.0,1.3,1.0,0.0,17.0,13.0,8.0,204.15,
SRAD,Long,PULLBACK,T2-LONG,66,16.32,15.6558,18.47,17.14,3.2,0.6642,,18.02,9.4,WAITING,1,1,HIGHWAY,EXCITED,,,HIGH,0.02,17.14,17.24,17.04,-1.2,PREMIUM,DISCOUNT,61,3,44,2.5,C,1d,16.32,16.14,30101904.0,2.1,1.2,1.0,25.4,18.0,8.0,154.93,
BRZE,Long,PULLBACK,T1-STRONG_LONG,100,20.94,19.9044,25.04,23.04,4.0,1.0356,,22.87,8.4,WAITING,4,4,HIGHWAY,EXCITED,,,HIGH,0.03,23.04,22.74,23.34,2.6,DISCOUNT,DISCOUNT,1663,4,229,9.5,A,"1d,1h,30m,4h",20.94,20.52,132566914.0,1.1,1.0,0.0,26.0,22.0,8.0,86.11,
REAL,Long,PULLBACK,T1-STRONG_LONG,81,10.63,10.2044,11.67,,2.4,0.4256,,11.33,6.2,APPROACH,7,7,HIGHWAY,EXCITED,,,HIGH,0.02,10.565,10.5,10.63,1.2,PREMIUM,MID,819,10,262,3.0,C,"10m,15m,1d,1h,30m,4h,5m",10.63,10.52,15683507.0,1.1,0.7,0.0,21.4,40.0,8.0,108.57,
SLI,Long,BOUNCE,T2-LONG,89,3.92,3.7733,4.2134,,2.0,0.1467,,3.92,0.5,CLOSE,3,3,HIGHWAY,EXCITED,,,MEGA,0.01,3.675,3.65,3.7,1.4,PREMIUM,PREMIUM,42,11,34,3.6,C,"10m,1m,5m",3.9,3.89,407179.0,2.0,1.2,1.0,18.3,24.0,8.0,235.64,
WAY,Long,BOUNCE,T1-STRONG_LONG,100,25.32,23.9881,27.9838,,2.0,1.3319,,25.32,1.7,CLOSE,7,7,OPEN_ROAD,EXCITED,,,HIGH,0.02,24.83,24.68,24.98,1.2,PREMIUM,MID,223,2,93,4.1,C,"10m,15m,1d,1h,30m,4h,5m",24.9,24.73,64784807.0,1.8,1.5,0.0,24.2,28.0,8.0,139.72,
WOLF,Long,PULLBACK,T1-STRONG_LONG,100,24.59,23.183,27.61,,2.1,1.407,,26.54,7.3,WAITING,4,4,HIGHWAY,EXCITED,,,MED,0.09,24.085,23.9,24.27,1.5,PREMIUM,PREMIUM,953,9,794,4.0,B,"1d,1h,4h,5m",24.59,23.9,129353991.0,2.2,1.6,1.0,30.6,40.0,8.0,28.23,
FIGS,Long,PULLBACK,T3-LONG_WATCH,51,16.06,14.9283,18.3234,,2.0,1.1317,,16.06,3.8,APPROACH,1,1,HIGHWAY,EXCITED,,,HIGH,0.02,15.42,15.39,15.45,0.4,FLAT,FLAT,1017,17,127,5.1,B,1d,15.45,15.39,15579066.0,1.5,1.2,0.0,16.4,28.0,8.0,152.26,
LEGN,Long,BOUNCE,T1-STRONG_LONG,100,21.08,19.9044,23.4312,,2.0,1.1756,,21.08,1.2,CLOSE,7,7,OPEN_ROAD,EXCITED,,,HIGH,0.02,20.67,20.52,20.82,1.5,PREMIUM,MID,420,4,197,2.2,C,"10m,15m,1d,1h,30m,4h,5m",20.82,20.52,180453042.0,2.2,1.9,1.0,24.6,33.0,8.0,163.19,
BMBL,Long,PULLBACK,T2-LONG,100,3.97,3.8024,4.5,4.105,3.2,0.1676,,4.31,7.9,WAITING,3,2,HIGHWAY,EXCITED,,,HIGH,0.03,4.105,4.09,4.12,0.7,PREMIUM,DISCOUNT,311,7,67,4.4,B,"1h,30m",3.97,3.92,696879.0,1.2,1.0,0.0,31.2,56.0,8.0,98.86,
JMIA,Long,BOUNCE,T1-STRONG_LONG,90,7.71,7.1004,8.9292,,2.0,0.6096,,7.71,2.7,CLOSE,7,7,OPEN_ROAD,EXCITED,,,HIGH,0.01,7.395,7.29,7.5,2.9,PREMIUM,MID,240,8,130,7.9,B,"10m,15m,1d,1h,30m,4h,5m",7.5,7.32,53811827.0,2.2,1.7,2.0,21.1,32.0,8.0,188.07,
VOYG,Long,PULLBACK,T1-STRONG_LONG,100,32.54,29.2261,39.1678,,2.0,3.3139,,32.54,3.5,APPROACH,7,7,OPEN_ROAD,EXCITED,,,MED,0.04,30.65,29.91,31.39,4.9,PREMIUM,MID,1206,6,230,20.3,A,"10m,15m,1d,1h,30m,4h,5m",31.39,30.13,242299519.0,2.0,1.2,1.0,13.8,32.0,8.0,45.48,
CAVA,Long,BOUNCE,T1-STRONG_LONG,100,91.24,85.5346,102.6508,,2.0,5.7054,,91.24,2.5,CLOSE,6,5,OPEN_ROAD,EXCITED,,,HIGH,0.02,88.705,88.44,88.97,0.6,PREMIUM,DISCOUNT,4829,8,826,3.9,C,"15m,1d,1h,30m,4h",88.97,88.18,193033300.0,1.4,1.1,0.0,9.9,26.0,8.0,104.61,
LPTH,Long,PULLBACK,T3-LONG_WATCH,93,13.7299,13.2793,14.6311,,2.0,0.4506,,14.92,8.0,WAITING,2,2,HIGHWAY,EXCITED,,,HIGH,0.04,14.01,14.02,14.0,-0.1,FLAT,FLAT,690,17,124,99.9,A,"10m,15m",13.7299,13.69,311695.0,1.5,1.1,1.0,23.6,39.0,8.0,53.68,
CDNA,Long,PULLBACK,T1-STRONG_LONG,100,20.95,15.955,30.94,,2.0,4.995,,22.42,6.6,APPROACH,7,7,HIGHWAY,EXCITED,,,MED,0.04,19.66,17.57,21.75,23.8,PREMIUM,MID,2339,9,1257,99.9,A,"10m,15m,1d,1h,30m,4h,5m",20.95,17.62,1111191116.0,5.0,2.1,1.0,46.6,40.0,8.0,49.62,
NNE,Long,PULLBACK,T2-LONG,85,23.0,21.3303,26.3394,24.895,2.0,1.6697,,24.55,6.3,APPROACH,2,2,OPEN_ROAD,EXCITED,,,MED,0.05,24.895,24.29,25.5,5.0,DISCOUNT,DISCOUNT,960,6,723,2.7,C,"1d,4h",23.0,21.99,282836967.0,1.5,1.4,0.0,29.7,30.0,8.0,40.04,
RXO,Long,PULLBACK,T1-STRONG_LONG,94,16.6,15.9662,17.8676,,2.0,0.6338,,17.98,7.7,WAITING,6,6,HIGHWAY,EXCITED,,,HIGH,0.01,16.535,16.47,16.6,0.8,PREMIUM,MID,173,6,88,99.9,B,"10m,15m,1d,1h,30m,4h",16.6,16.46,38473444.0,1.7,1.4,0.0,18.0,19.0,8.0,124.52,
TIC,Long,PULLBACK,T2-LONG,81,7.3,7.0422,8.5,7.675,4.7,0.2578,,7.99,8.6,WAITING,2,2,HIGHWAY,EXCITED,,,HIGH,0.02,7.675,7.64,7.71,0.9,PREMIUM,DISCOUNT,54,2,32,6.4,C,"1d,4h",7.3,7.26,21422424.0,1.0,1.0,0.0,16.6,20.0,8.0,107.09,
ALT,Long,PULLBACK,T1-STRONG_LONG,96,3.33,3.1331,3.77,,2.2,0.1969,,3.51,5.1,APPROACH,6,4,HIGHWAY,EXCITED,,,HIGH,0.02,3.4,3.4,3.4,0.0,FLAT,FLAT,68,2,38,7.4,C,"1d,1h,30m,4h",3.33,3.23,16150264.0,1.0,0.9,0.0,11.6,33.0,8.0,129.15,
DFTX,Long,PULLBACK,T1-STRONG_LONG,93,22.46,20.7774,25.8252,,2.0,1.6826,,22.46,4.1,APPROACH,1,1,HIGHWAY,EXCITED,,,HIGH,0.02,22.23,22.15,22.31,0.7,PREMIUM,DISCOUNT,355,14,288,99.9,A,1d,21.53,21.42,10585795.0,1.5,1.1,0.0,9.5,28.0,8.0,93.69,
SQM,Long,PULLBACK,T1-STRONG_LONG,99,89.42,85.0108,98.2384,,2.0,4.4092,,95.31,6.2,APPROACH,7,7,HIGHWAY,EXCITED,,,HIGH,0.01,88.52,87.62,89.42,2.1,PREMIUM,MID,4827,16,2843,99.9,A,"10m,15m,1d,1h,30m,4h,5m",89.42,87.64,303683353.0,1.5,1.1,0.0,16.8,57.0,8.0,103.73,
TTI,Long,BREAKOUT,T2-LONG,64,8.55,8.2644,9.875,,4.6,0.2856,False,8.55,0.0,INSIDE,1,1,HIGHWAY,EXCITED,1.7,True,HIGH,0.01,8.545,8.52,8.57,0.6,MID,DISCOUNT,62,16,49,15.5,C,,,,,,,,,,,,
BWIN,Long,PULLBACK,T1-STRONG_LONG,88,24.03,22.1451,27.7998,,2.0,1.8849,,24.03,4.5,APPROACH,6,6,OPEN_ROAD,EXCITED,,,HIGH,0.01,22.89,22.83,22.95,0.5,PREMIUM,MID,601,5,157,5.5,B,"10m,15m,1d,1h,30m,4h",22.95,22.83,17240345.0,1.1,0.8,0.0,17.2,22.0,8.0,95.64,
PRCH,Long,PULLBACK,T1-STRONG_LONG,100,7.12,6.8628,7.96,7.5,3.3,0.2572,,7.71,7.7,WAITING,4,4,HIGHWAY,EXCITED,,,HIGH,0.01,7.5,7.44,7.56,1.6,PREMIUM,DISCOUNT,190,7,94,3.2,C,"1d,1h,30m,4h",7.12,7.075,5990912.0,1.6,1.3,0.0,20.4,36.0,8.0,79.67,
ALKT,Long,PULLBACK,T1-STRONG_LONG,100,16.37,15.7819,19.61,16.99,5.5,0.5881,,17.4,5.9,APPROACH,3,3,HIGHWAY,EXCITED,,,HIGH,0.02,16.99,16.84,17.14,1.8,PREMIUM,DISCOUNT,240,2,217,12.7,C,"1h,30m,4h",16.37,16.27,4513450.0,1.5,1.0,0.0,14.9,22.0,8.0,64.34,
NPT,Long,PULLBACK,T2-LONG,100,3.01,2.9003,3.29,,2.6,0.1097,,3.22,6.5,APPROACH,3,3,HIGHWAY,EXCITED,,,NANO,0.4,5.93,5.85,6.01,2.7,DISCOUNT,DISCOUNT,12,4,5,2.2,D,"10m,1m,5m",3.01,2.99,151420.0,6.0,2.2,1.0,286.7,101.0,8.0,3.51,
BYND,Long,BOUNCE,T2-LONG,88,0.782,0.71,0.926,,2.0,0.072,,0.782,1.3,CLOSE,7,7,OPEN_ROAD,EXCITED,,,MEGA,0.1,0.7616,0.7511,0.7722,2.8,PREMIUM,PREMIUM,12,6,1,13.1,D,"10m,15m,1d,1h,30m,4h,5m",0.7721,0.76,49783878.0,1.5,1.5,0.0,40.1,34.0,8.0,447.15,
AGAE,Long,BOUNCE,T1-STRONG_LONG,100,0.5219,0.455,0.6557,0.5436,2.0,0.0669,,0.5219,2.3,CLOSE,3,3,OPEN_ROAD,EXCITED,,,MED,2.21,0.5436,0.472,0.6152,30.3,DISCOUNT,DISCOUNT,95,6,16,10.4,C,"15m,1m,5m",0.51,0.505,481271.0,1.8,6.6,1.0,242.4,50.0,8.0,17.09,
