ticker,side,mode,tier,fem,entry,stop,t1,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,total_genesis,vol_ratio_today,vol_ratio_3d,hot_days,move_pct,total_gaps,n_timeframes,news
AIXI,Short,RESISTANCE,T5-SHORT,24,0.13,0.1308,0.1128,21.5,0.0008,0.1174,10.7,WAITING,1,1,5m,0.1308,0.13,OPEN_ROAD,0,2.3,1.9,2,47.6,58,8,
GVH,Long,PULLBACK,T1-STRONG_LONG,94,2.02,1.98,2.325,7.6,0.04,2.23,9.4,WAITING,4,3,"1h,1m,30m",2.02,1.98,HIGHWAY,3004857,4.5,6.5,2,166.3,77,8,
GVH,Short,RESISTANCE,T3-SHORT,80,2.325,2.33,2.2,25.0,0.005,2.23,4.3,APPROACH,1,1,1m,2.33,2.325,HIGHWAY,0,4.5,6.5,2,166.3,77,8,
GVH,Long,FRESH_HOLD,T3-LONG_WATCH,66,2.2,2.195,2.325,25.0,0.005,2.23,1.3,CLOSE,1,1,1m,2.2,2.195,HIGHWAY,12245,4.5,6.5,2,166.3,77,8,
KOPN,Long,FRESH_HOLD,T2-LONG,84,2.185,2.16,2.27,3.4,0.025,2.25,2.9,CLOSE,4,4,"1h,1m,4h,5m",2.185,2.16,OPEN_ROAD,0,2.3,2.1,2,35.4,43,8,
KOPN,Short,RESISTANCE,T3-SHORT,80,2.27,2.275,2.23,8.0,0.005,2.25,0.9,CLOSE,1,1,1h,2.275,2.27,HIGHWAY,0,2.3,2.1,2,35.4,43,8,
ASTC,Short,RESISTANCE,T2-SHORT,69,5.25,5.28,4.76,16.3,0.03,5.23,0.4,CLOSE,1,1,1m,5.28,5.25,HIGHWAY,15732,0.7,6.7,1,239.3,39,8,
ASTC,Long,PULLBACK,T2-LONG,57,4.76,4.71,5.25,9.8,0.05,5.23,9.0,WAITING,2,2,"15m,5m",4.76,4.71,HIGHWAY,3190255,0.7,6.7,1,239.3,39,8,
BMEA,Short,RESISTANCE,T2-SHORT,80,1.5418,1.545,1.4799,19.3,0.0032,1.53,0.8,CLOSE,1,1,5m,1.545,1.5418,HIGHWAY,0,2.9,1.6,2,39.5,36,8,
PAVS,Short,RESISTANCE,T2-SHORT,62,2.14,2.16,2.09,2.5,0.02,2.13,0.5,CLOSE,1,1,1m,2.16,2.14,HIGHWAY,18702,0.4,0.2,0,125.8,69,8,
PSKY,Short,RESISTANCE,T3-SHORT,80,9.62,9.72,9.32,3.0,0.1,9.02,6.7,APPROACH,1,1,1d,9.72,9.62,HIGHWAY,137995480,1.1,0.8,0,7.7,28,8,
BATL,Short,RESISTANCE,T5-SHORT,22,3.93,3.9443,3.77,11.2,0.0143,3.9,0.8,CLOSE,1,1,1m,3.9443,3.93,MIXED,50541,0.9,0.9,1,104.4,88,8,
BLND,Short,RESISTANCE,T3-SHORT,60,1.75,1.755,1.615,27.0,0.005,1.7,2.9,CLOSE,1,1,1m,1.755,1.75,HIGHWAY,0,1.6,1.2,0,18.1,19,8,
BLND,Long,PULLBACK,T3-LONG_WATCH,35,1.615,1.6,1.75,9.0,0.015,1.7,5.0,APPROACH,2,1,10m,1.615,1.6,HIGHWAY,0,1.6,1.2,0,18.1,19,8,
NEXT,Short,RESISTANCE,T5-SHORT,24,7.955,8.05,7.06,9.4,0.095,7.66,3.9,APPROACH,1,1,1d,8.05,7.955,OPEN_ROAD,60016320,1.2,1.0,0,24.2,19,8,
UMAC,Short,RESISTANCE,T3-SHORT,80,13.3,13.34,11.25,51.3,0.04,12.4,7.3,WAITING,1,1,30m,13.34,13.3,HIGHWAY,3879068,1.0,1.0,0,46.0,36,8,
UMAC,Long,PULLBACK,T3-LONG_WATCH,66,11.25,11.08,13.3,12.1,0.17,12.4,9.3,WAITING,6,6,"10m,15m,1h,30m,4h,5m",11.25,11.08,HIGHWAY,90373791,1.0,1.0,0,46.0,36,8,
BFLY,Short,RESISTANCE,T2-SHORT,80,4.09,4.1,4.01,8.0,0.01,4.04,1.2,CLOSE,1,1,1m,4.1,4.09,HIGHWAY,3601,0.9,0.9,0,19.8,32,8,
BFLY,Long,FRESH_HOLD,T3-LONG_WATCH,75,4.01,3.98,4.09,2.7,0.03,4.04,0.7,CLOSE,4,3,"10m,1m,5m",4.01,3.98,HIGHWAY,563993,0.9,0.9,0,19.8,32,8,
BTQ,Short,RESISTANCE,T5-SHORT,38,2.69,2.72,2.59,3.3,0.03,2.67,0.7,CLOSE,1,1,1h,2.72,2.69,OPEN_ROAD,1175784,2.1,1.5,1,28.7,76,8,
