ticker,convergence_score,n_scanners,scanners,sides,dominant_side,agreement_pct,best_rank,avg_rank,long_pts,short_pts,total_raw_pts,sector_mult,sector_label
CORZ,5.2,2,Analyst#5;Consumption#47,"LONG,NA",LONG,100.0,5,26.0,1.0,0.0,3.7,0.994,NEUTRAL
CIFR,5.1,2,Analyst#5;Consumption#38,"LONG,NA",LONG,100.0,5,21.5,1.1,0.0,3.8,0.946,NEUTRAL
RLMD,5.1,2,Analyst#5;Consumption#157,"LONG,NA",LONG,100.0,5,81.0,0.6,0.0,3.2,1.126,HOT
TNGX,5.1,2,Analyst#5;Consumption#179,"LONG,NA",LONG,100.0,5,92.0,0.5,0.0,3.2,1.126,HOT
GLW,5.0,2,Analyst#5;Consumption#72,"LONG,NA",LONG,100.0,5,38.5,0.8,0.0,3.5,1.018,NEUTRAL
FCEL,4.9,2,Analyst#5;Consumption#62,"LONG,NA",LONG,100.0,5,33.5,0.9,0.0,3.6,0.97,NEUTRAL
FRMI,4.9,2,Analyst#5;Consumption#66,"LONG,NA",LONG,100.0,5,35.5,0.9,0.0,3.5,0.994,NEUTRAL
HUT,4.8,2,Analyst#5;Consumption#85,"LONG,NA",LONG,100.0,5,45.0,0.8,0.0,3.4,0.994,NEUTRAL
FPS,4.7,2,Analyst#5;Consumption#65,"LONG,NA",LONG,100.0,5,35.0,0.9,0.0,3.6,0.946,NEUTRAL
FROG,4.7,2,Analyst#5;Consumption#67,"LONG,NA",LONG,100.0,5,36.0,0.9,0.0,3.5,0.946,NEUTRAL
KEEL,4.7,2,Analyst#5;Consumption#95,"LONG,NA",LONG,100.0,5,50.0,0.7,0.0,3.4,0.994,NEUTRAL
SNDK,4.6,2,Analyst#5;Consumption#170,"LONG,NA",LONG,100.0,5,87.5,0.5,0.0,3.2,1.03,NEUTRAL
CRDO,4.5,2,Analyst#5;Consumption#48,"LONG,NA",LONG,100.0,5,26.5,1.0,0.0,3.7,0.874,COLD
MARA,4.5,2,Analyst#5;Consumption#105,"LONG,NA",LONG,100.0,5,55.0,0.7,0.0,3.4,0.946,NEUTRAL
PENN,4.5,2,Analyst#5;Consumption#137,"LONG,NA",LONG,100.0,5,71.0,0.6,0.0,3.3,0.982,NEUTRAL
SVC,4.5,2,Analyst#5;Consumption#177,"LONG,NA",LONG,100.0,5,91.0,0.5,0.0,3.2,0.994,NEUTRAL
NAVN,4.4,2,Analyst#5;Consumption#115,"LONG,NA",LONG,100.0,5,60.0,0.7,0.0,3.3,0.946,NEUTRAL
NCNO,4.4,2,Analyst#5;Consumption#117,"LONG,NA",LONG,100.0,5,61.0,0.6,0.0,3.3,0.946,NEUTRAL
WEN,4.4,2,Analyst#5;Consumption#196,"LONG,NA",LONG,100.0,5,100.5,0.5,0.0,3.2,0.982,NEUTRAL
RIOT,4.3,2,Analyst#5;Consumption#154,"LONG,NA",LONG,100.0,5,79.5,0.6,0.0,3.2,0.946,NEUTRAL
RXT,4.3,2,Analyst#5;Consumption#159,"LONG,NA",LONG,100.0,5,82.0,0.6,0.0,3.2,0.946,NEUTRAL
INTC,4.2,2,Analyst#5;Consumption#90,"LONG,NA",LONG,100.0,5,47.5,0.7,0.0,3.4,0.874,COLD
KLAC,4.2,2,Analyst#5;Consumption#96,"LONG,NA",LONG,100.0,5,50.5,0.7,0.0,3.4,0.874,COLD
TTAN,4.2,2,Analyst#5;Consumption#182,"LONG,NA",LONG,100.0,5,93.5,0.5,0.0,3.2,0.946,NEUTRAL
TTMI,4.2,2,Analyst#5;Consumption#183,"LONG,NA",LONG,100.0,5,94.0,0.5,0.0,3.2,0.946,NEUTRAL
WULF,4.2,2,Analyst#5;Consumption#201,"LONG,NA",LONG,100.0,5,103.0,0.5,0.0,3.2,0.946,NEUTRAL
LRCX,4.1,2,Analyst#5;Consumption#101,"LONG,NA",LONG,100.0,5,53.0,0.7,0.0,3.4,0.874,COLD
MRVL,4.1,2,Analyst#5;Consumption#111,"LONG,NA",LONG,100.0,5,58.0,0.7,0.0,3.3,0.874,COLD
MU,4.1,2,Analyst#5;Consumption#114,"LONG,NA",LONG,100.0,5,59.5,0.7,0.0,3.3,0.874,COLD
WDC,3.9,2,Analyst#5;Consumption#195,"LONG,NA",LONG,100.0,5,100.0,0.5,0.0,3.2,0.874,COLD
