ticker,setup,side,score,entry,stop,target,secondary_target,shares,rr,spy_regime,rel_vol,current_price,ath_status,pct_from_52w_high,high_52w,float_rotation,float_rotation_label,obv_macro_state,exhaustion_warning,primitives_json,reasons,notes,timestamp
GDDY,BULL_BOUNCE_PENDING,LONG,81.1,102.09,92.45,107.19,,10,0.53,FAVORABLE,0.95,95.76,DEEP_BELOW,-0.3636,150.47,0.0165,1.6% (normal),RISING,False,"{""structural_anchor_below"": 14.0, ""high_genesis_rank"": 13.1, ""moderate_pullback"": 8.0, ""obv_rising"": 8.0, ""float_rot_quiet"": -2.0, ""sector_top_decile"": 5.0, ""regime_favorable"": 5.0, ""breakout_follow_promotion"": 0.0}","BUY-STOP: tape already cleared the $92.03 anchor - enter on strength above today's high, no pullback | 3.7% below — moderate pullback, sweet spot (49% WR) | OBV rising — accumulation underneath | TECH HOT (top 8%) — major tailwind | SPY FAVORABLE | BREAKOUT_FOLLOW: open $101.56 cleared anchor $92.03, 2/4 strength, regime FAVORABLE — buy-stop $102.09, 1.5xATR stop","BUY-STOP @ $102.09 (above today's high $101.99). Stop $92.45 (1.5xATR). Score 81, strength=2/4, regime=FAVORABLE. BREAKOUT_FOLLOW.",2026-08-17T05:25:57
GDDY,BULL_BOUNCE,LONG,71.0,95.76,89.33,106.79,,15,1.72,FAVORABLE,0.95,95.76,DEEP_BELOW,-0.3636,150.47,0.0165,1.6% (normal),RISING,False,"{""ascending_channel"": 18.0, ""at_lower_rail"": 14.0, ""anchor_eligible"": 12.0, ""multiple_touches"": 16.0, ""obv_rising"": 6.0, ""regime_favorable"": 5.0}",ASC channel detected on 5m (score 96) | price at lower rail ($96.02) | anchor: 30m 86tk @ $95.34 | 5 prior bull-rail touches | OBV rising — accumulation underneath | SPY FAVORABLE,"Channel: 5m ASC, rails $96.02-$96.58",2026-08-17T05:25:57
GDDY,BEAR_REJECTION_PENDING,SHORT,60.0,97.68,103.02,84.1,84.1,4,2.54,FAVORABLE,0.95,95.76,DEEP_BELOW,-0.3636,150.47,0.0165,1.6% (normal),RISING,False,"{""structural_anchor_above"": 14.0, ""huge_anchor"": 14.0, ""vacuum_tier"": 6.0, ""moderate_rally"": 4.0, ""regime_favorable_hurts_short"": -8.0, ""obv_rising_against_short"": 0.0}","PENDING: wait for rally to $99.99 (45m 253tk VACUUM bear gap) | SPY FAVORABLE — short is countertrend, lower probability | OBV rising — possible trapped buyers under resistance (neutral) | COUNTER-TREND: opposes dominant LONG read (top score 81) - sized to 1/4 risk",LIMIT SHORT @ $97.68 (2% rally cap; anchor at $99.99 too far). Stop $103.02. Anchor: 45m 253tk bear.,2026-08-17T05:25:57
EFOR,BULL_BOUNCE_PENDING,LONG,68.6,31.04,30.17,32.51,,115,1.71,FAVORABLE,0.55,31.67,NEAR_HIGH,-0.0625,33.78,0.0143,1.4% (normal),RISING,False,"{""structural_anchor_below"": 14.0, ""high_genesis_rank"": 12.6, ""near_pullback"": -4.0, ""obv_rising"": 8.0, ""float_rot_quiet"": -2.0, ""sector_top_decile"": 5.0, ""regime_favorable"": 5.0}","PENDING: wait for pullback to $30.80 (daily 17tk COMPRESSION gap body) | only 2.5% below — shallow entry, historically weak (22% WR) | OBV rising — accumulation underneath | TECH HOT (top 8%) — major tailwind | SPY FAVORABLE",LIMIT BUY @ $31.04 (2% pullback cap; anchor at $30.80 too far). Stop $30.17. Anchor: daily 17tk.,2026-08-17T05:25:49
SOLV,BULL_BOUNCE_PENDING,LONG,91.0,88.59,80.07,93.02,,11,0.52,FAVORABLE,1.17,88.59,BLUE_SKY,-0.0157,90.0,0.0085,0.9% (normal),FALLING,False,"{""structural_anchor_below"": 14.0, ""huge_anchor"": 8.0, ""high_genesis_rank"": 15.0, ""conviction_tier"": 10.0, ""moderate_pullback"": 8.0, ""obv_falling_pending"": -2.0, ""float_rot_quiet"": -2.0, ""sector_top_decile"": 5.0, ""regime_favorable"": 5.0}","MARKET: score 91 CONVICTION - take entry now at $88.59, not waiting for the $81.78 pullback | 6.2% below — moderate pullback, sweet spot (49% WR) | OBV softer near-term — normal during pullback wait | TECH HOT (top 8%) — major tailwind | SPY FAVORABLE",MARKET BUY @ ~$88.59 (CONVICTION score 91). Stop $80.07. Anchor: daily 261tk @ $81.78.,2026-08-17T05:25:39
QTEX,BULL_BOUNCE_PENDING,LONG,67.2,0.93,0.89,1.01,,2413,1.9,FAVORABLE,0.41,0.9501,DEEP_BELOW,-0.7532,3.85,0.0166,1.7% (normal),RISING,False,"{""structural_anchor_below"": 14.0, ""high_genesis_rank"": 0.2, ""moderate_pullback"": 8.0, ""obv_rising"": 8.0, ""rel_vol_quiet_pending"": -1.0, ""float_rot_quiet"": -2.0, ""sector_top_decile"": 5.0, ""regime_favorable"": 5.0}","PENDING: wait for pullback to $0.92 (1h 1tk MINOR gap body) | 3.2% below — moderate pullback, sweet spot (49% WR) | OBV rising — accumulation underneath | TECH HOT (top 8%) — major tailwind | SPY FAVORABLE",LIMIT BUY @ $0.93 (2% pullback cap; anchor at $0.92 too far). Stop $0.89. Anchor: 1h 1tk.,2026-08-17T05:26:24
QTEX,BULL_BOUNCE_CONFIRMED,LONG,66.0,0.95,0.94,1.01,1.0,6991,4.19,FAVORABLE,0.41,0.9501,DEEP_BELOW,-0.7532,3.85,0.0166,1.7% (normal),RISING,False,"{""ascending_channel"": 14.0, ""confirmed_recovery"": 12.0, ""current_anchor_eligible"": 14.0, ""multiple_touches"": 12.0, ""vol_weak"": -6.0, ""regime_favorable"": 5.0, ""rejection_staircase"": 15.0}",ASC channel detected on 45m (score 78) | recovered 2.2% from recent low $0.93 | bounce at daily 80tk @ $1.12 (None) | 4 prior bull-rail touches | today's volume weak — bounce lacks conviction | SPY FAVORABLE | staircase: 3 prior distinct rejection(s) below — prev = 5m 2tk @ $0.95,"Channel: 45m ASC, rails $0.97-$1.00. Recent low $0.93 → now $0.95 (+2.2%)",2026-08-17T05:26:24
MTSI,BULL_BOUNCE_CONFIRMED,LONG,94.7,322.62,305.45,364.37,368.57,5,2.43,FAVORABLE,0.55,322.62,BELOW,-0.2298,418.9,0.0105,1.0% (normal),FALLING,False,"{""ascending_channel"": 14.0, ""confirmed_recovery"": 12.0, ""current_anchor_eligible"": 14.0, ""anchor_high_genesis_rank"": 9.7, ""multiple_touches"": 12.0, ""obv_rising"": 8.0, ""regime_favorable"": 5.0, ""rejection_staircase"": 20.0}",ASC channel detected on 45m (score 84) | recovered 3.8% from recent low $310.92 | bounce at weekly 396tk @ $312.80 (CONVICTION) | 4 prior bull-rail touches | OBV rising — accumulation underneath | SPY FAVORABLE | staircase: 5 prior distinct rejection(s) below — prev = 5m 190tk @ $307.93,"Channel: 45m ASC, rails $309.00-$319.79. Recent low $310.92 → now $322.62 (+3.8%)",2026-08-17T05:26:57
MTSI,BULL_BOUNCE_PENDING,LONG,60.0,317.91,311.82,364.37,348.63,16,7.63,FAVORABLE,0.55,322.62,BELOW,-0.2298,418.9,0.0105,1.0% (normal),FALLING,False,"{""structural_anchor_below"": 14.0, ""huge_anchor"": 8.0, ""vacuum_tier"": 6.0, ""near_pullback"": -4.0, ""obv_falling_pending"": -2.0, ""float_rot_quiet"": -2.0, ""sector_top_decile"": 5.0, ""regime_favorable"": 5.0}","PENDING: wait for pullback to $317.91 (30m 371tk VACUUM gap body) | only 0.9% below — shallow entry, historically weak (22% WR) | OBV softer near-term — normal during pullback wait | TECH HOT (top 8%) — major tailwind | SPY FAVORABLE",LIMIT BUY @ $317.91 on pullback (0.9% below current $322.62). Stop $311.82. Anchor: 30m 371tk.,2026-08-17T05:26:57
DVLT,BULL_BOUNCE_CONFIRMED,LONG,66.0,0.33,0.31,0.37,0.37,6535,2.78,FAVORABLE,0.77,0.3275,DEEP_BELOW,-0.9188,4.03,0.0194,1.9% (normal),FALLING,False,"{""ascending_channel"": 14.0, ""confirmed_recovery"": 12.0, ""current_anchor_eligible"": 14.0, ""multiple_touches"": 16.0, ""obv_rising"": 8.0, ""regime_favorable"": 5.0, ""no_prior_staircase"": -3.0}",ASC channel detected on 5m (score 90) | recovered 3.9% from recent low $0.32 | bounce at 15m 1tk @ $0.32 (MINOR) | 7 prior bull-rail touches | OBV rising — accumulation underneath | SPY FAVORABLE | no prior distinct rejection — stop below current anchor,"Channel: 5m ASC, rails $0.32-$0.32. Recent low $0.32 → now $0.33 (+3.9%)",2026-08-17T05:26:00
APLE,BULL_BOUNCE_PENDING,LONG,63.6,15.8,15.65,16.25,16.25,672,3.02,FAVORABLE,0.7,16.07,NEAR_HIGH,-0.07,17.28,0.0095,1.0% (normal),RISING,False,"{""structural_anchor_below"": 14.0, ""high_genesis_rank"": 12.6, ""near_pullback"": -4.0, ""obv_rising"": 8.0, ""float_rot_quiet"": -2.0, ""regime_favorable"": 5.0}","PENDING: wait for pullback to $15.80 (daily 14tk COMPRESSION gap body) | only 1.2% below — shallow entry, historically weak (22% WR) | OBV rising — accumulation underneath | SPY FAVORABLE",LIMIT BUY @ $15.80 on pullback (1.2% below current $16.07). Stop $15.65. Anchor: daily 14tk.,2026-08-17T05:26:24
HTZ,BULL_BOUNCE_CONFIRMED,LONG,62.0,2.26,2.01,2.37,,399,0.45,FAVORABLE,0.69,2.26,DEEP_BELOW,-0.7237,8.18,0.1044,10.4% (active),FALLING,False,"{""ascending_channel"": 14.0, ""confirmed_recovery"": 12.0, ""current_anchor_eligible"": 14.0, ""multiple_touches"": 12.0, ""obv_rising"": 8.0, ""regime_favorable"": 5.0, ""no_prior_staircase"": -3.0}",ASC channel detected on 5m (score 70) | recovered 2.3% from recent low $2.21 | bounce at daily 25tk @ $2.15 (None) | 4 prior bull-rail touches | OBV rising — accumulation underneath | SPY FAVORABLE | no prior distinct rejection — stop below current anchor,"Channel: 5m ASC, rails $2.23-$2.26. Recent low $2.21 → now $2.26 (+2.3%)",2026-08-17T05:26:52
ARE,BEAR_REJECTION_PENDING,SHORT,70.0,49.12,49.99,44.65,41.76,115,5.15,FAVORABLE,0.65,48.25,DEEP_BELOW,-0.4532,88.24,0.007,0.7% (normal),RISING,False,"{""structural_anchor_above"": 14.0, ""medium_anchor"": 6.0, ""high_genesis_rank"": 14.0, ""near_rally"": 8.0, ""regime_favorable_hurts_short"": -8.0, ""obv_falling"": 6.0}","PENDING: wait for rally to $49.12 (weekly 63tk COMPRESSION bear gap) | only 1.8% above current — close rally | SPY FAVORABLE — short is countertrend, lower probability | OBV falling — distribution confirms short thesis",LIMIT SHORT @ $49.12 on rally (1.8% above current $48.25). Stop $49.99. Anchor: weekly 63tk bear.,2026-08-17T05:26:23
