ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,stop_adjusted,vol_ratio,vol_hot,news
INDI,Long,BOUNCE,T1-STRONG_LONG,100,3.72,3.295,4.57,,2.0,0.425,3.72,0.5,CLOSE,8,8,"10m,15m,1d,1h,1m,30m,4h,5m",3.7,3.43,HIGHWAY,EXCITED,194343238.0,0.5,1.1,216088.0,0.0,16.3,25.0,8.0,204.16,MEGA,0.01,3.565,3.43,3.7,7.9,PREMIUM,MID,200,6,129,11.8,A,,,,
SEDG,Long,PULLBACK,T1-STRONG_LONG,92,43.27,41.2832,50.45,47.625,3.6,1.9868,46.21,6.4,APPROACH,2,2,"1d,4h",43.27,42.56,HIGHWAY,EXCITED,341792319.0,0.2,0.9,63024.0,0.0,35.5,38.0,8.0,59.61,HIGH,0.01,47.625,47.36,47.89,1.1,DISCOUNT,DISCOUNT,1961,12,709,9.2,A,,,,
MXL,Long,PULLBACK,T1-STRONG_LONG,100,53.7,24.66,111.78,,2.0,29.04,58.7,8.5,WAITING,8,8,"10m,15m,1d,1h,1m,30m,4h,5m",53.7,34.34,HIGHWAY,EXCITED,64049474922.0,3.4,2.3,1005710.0,3.0,128.1,70.0,8.0,81.43,HIGH,0.08,44.28,34.25,54.31,58.6,PREMIUM,MID,17625,17,15891,99.9,A,,,,
VELO,Long,BOUNCE,T2-LONG,100,16.19,15.4327,17.7046,16.685,2.0,0.7573,16.19,0.7,CLOSE,2,1,1m,16.08,15.91,OPEN_ROAD,EXCITED,120501.0,0.2,1.0,91097.0,1.0,58.3,34.0,8.0,7.67,LOW,0.04,16.685,16.77,16.6,-1.0,DISCOUNT,DISCOUNT,566,13,313,2.5,C,,,,
CAST,Long,BOUNCE,T1-STRONG_LONG,100,2.16,1.5798,3.3205,,2.0,0.5802,2.16,1.8,CLOSE,5,5,"10m,15m,1h,30m,5m",2.1205,1.76,OPEN_ROAD,EXCITED,163246995.0,12.9,4.7,7056266.0,1.0,113.5,83.0,8.0,15.78,MED,0.11,1.985,1.68,2.29,36.3,PREMIUM,MID,169,2,89,8.8,C,,,,
SCNI,Long,PULLBACK,T3-LONG_WATCH,81,0.8424,0.7873,0.9771,,2.4,0.0551,0.9137,7.8,WAITING,2,2,"10m,1m",0.8424,0.8373,HIGHWAY,EXCITED,17710228.0,19.7,6.6,47257203.0,1.0,130.9,17.0,8.0,12208.98,MEGA,0.0,0.6261,0.456,0.7962,74.6,PREMIUM,PREMIUM,169,4,57,6.9,B,,,,
OGN,Long,BREAKOUT,T1-STRONG_LONG,95,10.7,7.565,16.97,,2.0,3.135,10.25,0.0,INSIDE,6,6,,,,OPEN_ROAD,EXCITED,,,,,,,,,,MEGA,0.02,9.665,8.6,10.73,24.8,PREMIUM,MID,972,4,972,6.1,B,False,0.8,True,
INTC,Long,BOUNCE,T1-STRONG_LONG,100,82.3,59.25,128.4,,2.0,23.05,82.3,0.3,CLOSE,8,8,"10m,15m,1d,1h,1m,30m,4h,5m",82.02,66.84,HIGHWAY,EXCITED,503430847537.0,0.8,0.9,26126523.0,0.0,32.2,48.0,8.0,4985.91,MEGA,0.01,74.445,66.78,82.11,23.0,PREMIUM,MID,14350,15,7453,99.9,A,,,,
POET,Long,BOUNCE,T1-STRONG_LONG,100,13.1,11.14,17.02,,2.0,1.96,13.1,1.0,CLOSE,5,5,"15m,1d,1h,30m,4h",12.97,11.75,HIGHWAY,EXCITED,3192249974.0,0.9,2.2,4794095.0,4.0,97.0,56.0,8.0,131.85,HIGH,0.12,12.635,11.72,13.55,15.6,PREMIUM,DISCOUNT,1534,8,558,99.9,A,,,,
AMD,Long,PULLBACK,T1-STRONG_LONG,90,347.36,290.965,460.15,,2.0,56.395,347.36,3.7,APPROACH,8,8,"10m,15m,1d,1h,1m,30m,4h,5m",334.54,305.49,HIGHWAY,EXCITED,253885319484.0,0.8,1.1,4181261.0,0.0,28.0,58.0,8.0,1621.48,MEGA,0.01,321.04,305.33,336.75,10.3,PREMIUM,MID,41516,17,29559,99.9,A,,,,
WIMI,Long,PULLBACK,T2-LONG,100,1.86,1.7266,2.13,1.875,2.0,0.1334,2.04,8.8,WAITING,2,1,1m,1.86,1.78,HIGHWAY,EXCITED,1119799.0,7.6,2.8,12253469.0,3.0,52.5,46.0,8.0,9.77,LOW,0.21,1.875,1.78,1.97,10.7,PREMIUM,DISCOUNT,60,4,41,4.4,C,,,,
SMR,Long,BOUNCE,T1-STRONG_LONG,100,12.305,11.543,18.47,12.96,8.1,0.762,12.305,1.3,CLOSE,3,3,"1h,30m,4h",12.15,11.9,HIGHWAY,EXCITED,446428694.0,0.3,1.2,2141869.0,0.0,22.9,33.0,8.0,298.64,MEGA,0.02,12.96,12.72,13.2,3.8,DISCOUNT,DISCOUNT,1146,3,566,50.1,B,,,,
ALP,Long,BOUNCE,T2-LONG,100,0.1886,0.1305,0.3048,,2.0,0.0581,0.1886,1.4,CLOSE,6,6,"10m,15m,1m,30m,4h,5m",0.1859,0.1805,OPEN_ROAD,EXCITED,0.0,0.2,5.4,4322088.0,2.0,99.1,41.0,8.0,8.49,LOW,0.11,0.1845,0.183,0.1859,1.6,PREMIUM,DISCOUNT,0,1,0,10.3,D,,,,
PAPL,Long,BOUNCE,T1-STRONG_LONG,90,0.9332,0.8273,1.145,,2.0,0.1059,0.9332,2.6,CLOSE,5,5,"10m,15m,1m,4h,5m",0.909,0.8773,HIGHWAY,EXCITED,262762914.0,0.2,6.6,1183593.0,1.0,97.1,28.0,8.0,16.27,MED,0.07,0.8895,0.87,0.909,4.5,PREMIUM,MID,179,8,25,13.6,B,,,,
BURU,Long,PULLBACK,T2-LONG,81,0.3371,0.245,0.5213,0.368,2.0,0.0921,0.3371,4.6,APPROACH,6,6,"10m,15m,1d,1h,30m,4h",0.3215,0.295,OPEN_ROAD,EXCITED,751522879.0,0.3,3.0,14765857.0,2.0,120.0,52.0,8.0,153.12,HIGH,0.09,0.368,0.3705,0.3655,-1.3,DISCOUNT,DISCOUNT,21,6,17,3.9,D,,,,
AMPX,Long,PULLBACK,T2-LONG,87,20.06,19.0217,22.38,21.9,2.2,1.0383,21.43,6.4,APPROACH,2,2,"1d,4h",20.06,19.61,HIGHWAY,EXCITED,864210566.0,0.2,0.8,79137.0,1.0,24.5,41.0,8.0,128.25,HIGH,0.01,21.9,21.73,22.07,1.6,DISCOUNT,DISCOUNT,726,19,590,4.4,B,,,,
CORZ,Long,BOUNCE,T2-LONG,90,21.13,20.1857,23.0186,21.17,2.0,0.9443,21.13,0.3,CLOSE,2,2,"1h,30m",21.06,20.81,OPEN_ROAD,EXCITED,117454150.0,0.2,0.9,66829.0,1.0,11.7,25.0,8.0,233.51,MEGA,0.01,21.17,20.81,21.53,3.5,MID,DISCOUNT,681,10,42,3.5,C,,,,
HIMS,Long,BOUNCE,T1-STRONG_LONG,100,29.66,27.3346,34.3108,,2.0,2.3254,29.66,0.5,CLOSE,7,7,"10m,15m,1h,1m,30m,4h,5m",29.5,28.18,HIGHWAY,EXCITED,2730922452.0,0.4,0.9,1429382.0,1.0,17.9,26.0,8.0,207.41,MEGA,0.05,28.825,28.15,29.5,4.8,PREMIUM,MID,2377,5,184,8.0,B,,,,
MARA,Long,BREAKOUT,T1-STRONG_LONG,100,11.7,11.0192,14.25,11.88,3.7,0.6808,11.59,0.0,INSIDE,3,3,,,,HIGHWAY,EXCITED,,,,,,,,,,MEGA,0.03,11.88,11.8,11.96,1.4,DISCOUNT,DISCOUNT,233,4,62,23.0,A,False,0.3,True,
MSTR,Long,BREAKOUT,T1-STRONG_LONG,100,174.0,164.3956,223.8,174.675,5.2,9.6044,172.3,0.0,INSIDE,3,3,,,,HIGHWAY,EXCITED,,,,,,,,,,MEGA,0.01,174.675,172.47,176.88,2.6,DISCOUNT,DISCOUNT,11762,6,3692,29.9,A,False,0.2,True,
MU,Long,PULLBACK,T1-STRONG_LONG,100,458.56,441.7865,492.107,488.91,2.0,16.7735,499.06,8.1,WAITING,3,3,"1h,30m,4h",458.56,455.45,HIGHWAY,EXCITED,8449476585.0,0.3,0.8,1011024.0,0.0,16.3,53.0,8.0,1123.56,MEGA,0.01,488.91,481.72,496.1,3.0,PREMIUM,DISCOUNT,43871,24,9237,99.9,A,,,,
PBM,Long,PULLBACK,T1-STRONG_LONG,100,8.8,8.3517,10.78,9.435,4.4,0.4483,9.66,8.9,WAITING,4,4,"10m,15m,1h,30m",8.8,8.61,HIGHWAY,EXCITED,1169781.0,0.1,0.2,224956.0,1.0,124.0,96.0,8.0,0.29,NANO,1.5,9.435,9.03,9.84,9.0,PREMIUM,DISCOUNT,1716,16,314,11.6,A,,,,
SLDP,Long,BOUNCE,T3-LONG_WATCH,100,3.665,3.298,4.399,,2.0,0.367,3.665,1.8,CLOSE,2,2,"1d,4h",3.6,3.4,HIGHWAY,EXCITED,328488430.0,0.5,1.7,890988.0,3.0,29.4,43.0,8.0,186.08,HIGH,0.01,3.7075,3.7,3.715,0.4,FLAT,FLAT,388,8,23,6.1,B,,,,
TOVX,Long,BREAKOUT,T2-LONG,80,0.401,0.1877,0.8276,,2.0,0.2133,0.3928,0.0,INSIDE,2,2,,,,OPEN_ROAD,EXCITED,,,,,,,,,,MED,0.05,0.3822,0.381,0.3835,0.7,PREMIUM,DISCOUNT,0,10,0,19.5,D,False,0.1,True,
USAR,Long,BOUNCE,T1-STRONG_LONG,86,21.88,19.691,26.258,23.57,2.0,2.189,21.88,2.8,CLOSE,2,2,"1d,4h",21.27,20.3,OPEN_ROAD,EXCITED,3484934017.0,0.4,1.2,668662.0,2.0,22.0,38.0,8.0,169.39,HIGH,0.03,23.57,23.09,24.05,4.2,DISCOUNT,DISCOUNT,2300,8,721,14.2,A,,,,
