ticker,side,mode,tier,fem,entry,stop,t1,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,total_genesis,vol_ratio_today,vol_ratio_3d,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,news
AREC,Long,PULLBACK,T3-LONG_WATCH,38,2.3699,2.33,2.52,3.8,0.0399,2.495,5.0,APPROACH,3,1,1m,2.3699,2.33,OPEN_ROAD,6505,0.6,0.9,0,15.5,46,8,,UNKNOWN,,
ORIC,Short,RESISTANCE,T3-SHORT,80,8.58,8.6,7.67,45.5,0.02,8.34,2.9,CLOSE,1,1,5m,8.6,8.58,HIGHWAY,595624,1.5,3.4,1,80.4,22,8,,UNKNOWN,,
ORIC,Long,PULLBACK,T3-LONG_WATCH,43,7.67,7.64,8.58,30.3,0.03,8.34,8.0,WAITING,1,1,1m,7.67,7.64,HIGHWAY,311013,1.5,3.4,1,80.4,22,8,,UNKNOWN,,
SPCE,Short,RESISTANCE,T5-SHORT,61,2.64,2.65,2.49,15.0,0.01,2.51,5.2,APPROACH,1,1,1m,2.65,2.64,OPEN_ROAD,89528,0.9,3.4,1,30.0,19,8,,UNKNOWN,,
SPCE,Long,FRESH_HOLD,T3-LONG_WATCH,47,2.49,2.48,2.64,15.0,0.01,2.51,0.8,CLOSE,1,1,1m,2.49,2.48,OPEN_ROAD,119988,0.9,3.4,1,30.0,19,8,,UNKNOWN,,
SPCE,Long,PULLBACK,T3-LONG_WATCH,31,2.3,2.18,2.64,2.8,0.12,2.51,8.4,WAITING,1,1,4h,2.3,2.18,OPEN_ROAD,124333056,0.9,3.4,1,30.0,19,8,,UNKNOWN,,
TLRY,Short,RESISTANCE,T3-SHORT,80,6.91,6.945,5.78,32.3,0.035,6.3899,8.1,WAITING,1,1,30m,6.945,6.91,HIGHWAY,1287580,1.0,1.5,1,15.1,26,8,,UNKNOWN,,
DCGO,Short,RESISTANCE,T5-SHORT,15,0.6,0.615,0.5699,2.0,0.015,0.5702,5.2,APPROACH,1,1,1h,0.615,0.6,MIXED,2332452,1.1,1.2,0,18.0,22,8,,UNKNOWN,,
AMTX,Short,RESISTANCE,T2-SHORT,65,3.183,3.21,3.12,2.3,0.027,3.1632,0.6,CLOSE,1,1,1m,3.21,3.183,HIGHWAY,180033,0.4,0.8,0,26.3,53,8,,UNKNOWN,,
AMTX,Long,FRESH_HOLD,T3-LONG_WATCH,50,3.12,3.11,3.183,6.3,0.01,3.1632,1.4,CLOSE,2,2,"1m,5m",3.12,3.11,HIGHWAY,149335,0.4,0.8,0,26.3,53,8,,UNKNOWN,,
ALOY,Short,RESISTANCE,T2-SHORT,80,9.4114,9.44,8.41,35.0,0.0286,9.33,0.9,CLOSE,1,1,1m,9.44,9.4114,HIGHWAY,13089,0.3,0.7,0,20.6,58,8,,UNKNOWN,,
BFLY,Long,PULLBACK,T3-LONG_WATCH,23,3.95,3.94,4.37,42.0,0.01,4.155,4.9,APPROACH,1,1,1m,3.95,3.94,HIGHWAY,18856,0.4,0.8,0,17.1,18,8,,UNKNOWN,,"+FDA_APPROVAL [Apr 01 15:36], +CONTRACT [Mar 01 13:08], +ANALYST_UPGRADE [Feb 28 13:59], +REVENUE_BEAT [Feb 27 23:17]"
UMAC,Short,RESISTANCE,T3-SHORT,70,14.5,14.86,13.09,3.9,0.36,13.81,5.0,APPROACH,1,1,1d,14.86,14.5,HIGHWAY,154868364,0.4,0.7,0,32.3,31,8,,UNKNOWN,,"-DILUTION [Mar 20 12:30], +ACQUISITION [Apr 02 12:19]"
UMAC,Long,PULLBACK,T3-LONG_WATCH,23,13.09,13.06,13.8201,24.3,0.03,13.81,5.2,APPROACH,1,1,1m,13.09,13.06,HIGHWAY,60534,0.4,0.7,0,32.3,31,8,,UNKNOWN,,"-DILUTION [Mar 20 12:30], +ACQUISITION [Apr 02 12:19]"
KALA,Short,RESISTANCE,T5-SHORT,42,0.1582,0.1594,0.1544,3.2,0.0012,0.1565,1.1,CLOSE,1,1,1m,0.1594,0.1582,OPEN_ROAD,0,0.1,0.2,0,40.3,56,8,,UNKNOWN,,"-DILUTION [Dec 05 19:36], +FDA_TRIAL [Sep 29 12:00], +ACQUISITION [Dec 04 15:45]"
KALA,Long,PULLBACK,T3-LONG_WATCH,10,0.1498,0.149,0.1566,8.5,0.0008,0.1565,4.3,APPROACH,1,1,1m,0.1498,0.149,OPEN_ROAD,0,0.1,0.2,0,40.3,56,8,,UNKNOWN,,"-DILUTION [Dec 05 19:36], +FDA_TRIAL [Sep 29 12:00], +ACQUISITION [Dec 04 15:45]"
ASNS,Short,RESISTANCE,T5-SHORT,8,0.3774,0.3795,0.3711,3.0,0.0021,0.3732,1.1,CLOSE,1,1,15m,0.3795,0.3774,MIXED,0,0.0,0.0,0,20.8,55,8,,UNKNOWN,,"-DILUTION [Dec 18 01:01], +CONTRACT [Dec 12 14:00], -DELISTING_RISK [Dec 09 13:30]"
VIR,Long,PULLBACK,T3-LONG_WATCH,53,8.64,8.47,9.85,7.1,0.17,9.16,5.7,APPROACH,4,4,"1d,1h,30m,4h",8.64,8.47,OPEN_ROAD,37153619,0.4,0.6,0,13.8,17,8,,UNKNOWN,,"-DILUTION [Feb 26 03:31], +FDA_TRIAL [Feb 24 16:10]"
VIR,Long,FRESH_HOLD,T3-LONG_WATCH,37,8.99,8.83,9.49,3.1,0.16,9.16,1.9,CLOSE,2,1,1m,8.99,8.83,OPEN_ROAD,113690,0.4,0.6,0,13.8,17,8,,UNKNOWN,,"-DILUTION [Feb 26 03:31], +FDA_TRIAL [Feb 24 16:10]"
LFST,Short,RESISTANCE,T5-SHORT,62,6.55,6.57,5.1,72.5,0.02,6.31,3.8,APPROACH,1,1,1m,6.57,6.55,OPEN_ROAD,400,0.2,0.7,0,7.6,20,8,,UNKNOWN,,"-DILUTION [Mar 02 00:20], ~MANAGEMENT [Mar 31 01:15]"
MASK,Short,RESISTANCE,T5-SHORT,48,2.2,2.21,2.17,3.0,0.01,2.18,0.9,CLOSE,1,1,1m,2.21,2.2,OPEN_ROAD,20670,0.1,6.5,1,180.2,58,8,,UNKNOWN,,"-DILUTION [Oct 15 11:30], -DELISTING_RISK [Sep 30 01:53], ~MANAGEMENT [Oct 24 20:30]"
MASK,Long,PULLBACK,T3-LONG_WATCH,28,2.0,1.9702,2.2,6.7,0.0298,2.18,8.3,WAITING,1,1,1m,2.0,1.9702,OPEN_ROAD,10605,0.1,6.5,1,180.2,58,8,,UNKNOWN,,"-DILUTION [Oct 15 11:30], -DELISTING_RISK [Sep 30 01:53], ~MANAGEMENT [Oct 24 20:30]"
GVH,Long,PULLBACK,T2-LONG,65,2.03,1.97,2.255,3.8,0.06,2.22,8.6,WAITING,4,4,"1h,1m,4h,5m",2.03,1.97,OPEN_ROAD,2598330,0.2,1.8,2,108.2,87,8,,UNKNOWN,,"-DILUTION [Jan 02 22:00], +CONTRACT [Jun 30 08:00], -DELISTING_RISK [May 23 13:46], +REVENUE_BEAT [Feb 17 13:00], +ANALYST_UPGRADE [Jul 11 11:00], -REVERSE_SPLIT [Jul 17 13:10]"
GVH,Short,RESISTANCE,T5-SHORT,34,2.255,2.275,2.19,3.2,0.02,2.22,1.6,CLOSE,1,1,1m,2.275,2.255,OPEN_ROAD,8800,0.2,1.8,2,108.2,87,8,,UNKNOWN,,"-DILUTION [Jan 02 22:00], +CONTRACT [Jun 30 08:00], -DELISTING_RISK [May 23 13:46], +REVENUE_BEAT [Feb 17 13:00], +ANALYST_UPGRADE [Jul 11 11:00], -REVERSE_SPLIT [Jul 17 13:10]"
FCHL,Short,RESISTANCE,T5-SHORT,21,2.2618,2.3,2.005,6.7,0.0382,2.035,11.1,WAITING,1,1,1m,2.3,2.2618,OPEN_ROAD,129028,0.0,0.4,0,161.7,57,8,,UNKNOWN,,"-DILUTION [Sep 05 16:10], -DELISTING_RISK [Nov 10 20:50], -REVERSE_SPLIT [Mar 18 16:15], ~MANAGEMENT [Mar 18 16:15]"
RENX,Long,FRESH_HOLD,T1-STRONG_LONG,87,2.305,2.27,2.41,3.0,0.035,2.32,0.6,CLOSE,4,3,"10m,1m,5m",2.305,2.27,HIGHWAY,32256,0.2,5.8,1,145.1,53,8,,UNKNOWN,,"-DILUTION [Feb 14 14:05], +CONTRACT [Mar 03 14:00], +ACQUISITION [Feb 06 12:02], -REVERSE_SPLIT [Mar 24 12:30]"
RENX,Short,RESISTANCE,T3-SHORT,80,2.41,2.455,2.305,2.3,0.045,2.32,3.9,APPROACH,1,1,1d,2.455,2.41,HIGHWAY,226171188,0.2,5.8,1,145.1,53,8,,UNKNOWN,,"-DILUTION [Feb 14 14:05], +CONTRACT [Mar 03 14:00], +ACQUISITION [Feb 06 12:02], -REVERSE_SPLIT [Mar 24 12:30]"
RENX,Long,PULLBACK,T3-LONG_WATCH,26,2.1737,2.16,2.41,17.2,0.0137,2.32,6.3,APPROACH,1,1,1m,2.1737,2.16,OPEN_ROAD,4205,0.2,5.8,1,145.1,53,8,,UNKNOWN,,"-DILUTION [Feb 14 14:05], +CONTRACT [Mar 03 14:00], +ACQUISITION [Feb 06 12:02], -REVERSE_SPLIT [Mar 24 12:30]"
SRXH,Short,RESISTANCE,T3-SHORT,80,0.1377,0.138,0.1355,7.3,0.0003,0.1373,0.3,CLOSE,1,1,1m,0.138,0.1377,HIGHWAY,0,0.4,0.8,0,34.7,18,8,,UNKNOWN,,"-DILUTION [Feb 11 13:00], -DELISTING_RISK [Jan 08 12:15], +ACQUISITION [Jan 14 13:15], ~MANAGEMENT [Oct 01 12:00]"
SRXH,Long,PULLBACK,T3-LONG_WATCH,39,0.1285,0.1273,0.1377,7.7,0.0012,0.1373,6.4,APPROACH,2,2,"10m,1m",0.1285,0.1273,OPEN_ROAD,0,0.4,0.8,0,34.7,18,8,,UNKNOWN,,"-DILUTION [Feb 11 13:00], -DELISTING_RISK [Jan 08 12:15], +ACQUISITION [Jan 14 13:15], ~MANAGEMENT [Oct 01 12:00]"
BURU,Short,RESISTANCE,T2-SHORT,57,0.1758,0.1762,0.1689,17.3,0.0004,0.1713,2.6,CLOSE,1,1,1m,0.1762,0.1758,HIGHWAY,0,0.2,1.0,1,30.2,52,8,,UNKNOWN,,"-DILUTION [Feb 17 18:46], +CONTRACT [Feb 13 12:45], +ACQUISITION [Mar 20 11:15], -REVERSE_SPLIT [Feb 17 18:46]"
JTAI,Short,RESISTANCE,T2-SHORT,65,0.0835,0.0844,0.0805,3.3,0.0009,0.0807,3.5,APPROACH,1,1,1h,0.0844,0.0835,HIGHWAY,0,0.2,0.3,0,29.6,51,8,,UNKNOWN,,"-DILUTION [Dec 30 15:48], +ACQUISITION [Feb 12 13:30], ~MANAGEMENT [Mar 17 12:30]"
JTAI,Long,FRESH_HOLD,T3-LONG_WATCH,32,0.0805,0.0803,0.081,2.5,0.0002,0.0807,0.2,CLOSE,1,1,1m,0.0805,0.0803,HIGHWAY,0,0.2,0.3,0,29.6,51,8,,UNKNOWN,,"-DILUTION [Dec 30 15:48], +ACQUISITION [Feb 12 13:30], ~MANAGEMENT [Mar 17 12:30]"
MGN,Short,RESISTANCE,T5-SHORT,20,0.1454,0.1464,0.1407,4.7,0.001,0.1428,1.8,CLOSE,1,1,1m,0.1464,0.1454,MIXED,0,0.2,1.4,2,87.3,52,8,,UNKNOWN,,-DILUTION [Feb 27 21:05]
MIST,Short,RESISTANCE,T5-SHORT,49,1.4,1.405,1.28,24.0,0.005,1.285,8.9,WAITING,1,1,10m,1.405,1.4,OPEN_ROAD,180072,0.2,1.2,1,36.0,55,8,,UNKNOWN,,"-DELISTING_RISK [Apr 02 12:00], ~MANAGEMENT [Apr 02 12:00]"
GO,Short,RESISTANCE,T3-SHORT,80,6.85,6.89,6.67,4.5,0.04,6.79,0.9,CLOSE,1,1,1d,6.89,6.85,HIGHWAY,6643336,0.1,0.4,0,8.4,35,8,,UNKNOWN,,+FDA_TRIAL [Apr 02 09:00]
ONDS,Short,RESISTANCE,T3-SHORT,80,10.05,10.295,8.28,7.2,0.245,9.4169,6.7,APPROACH,1,1,15m,10.295,10.05,HIGHWAY,167747784,0.4,0.6,0,21.3,21,8,,UNKNOWN,,"+CONTRACT [Mar 25 14:52], +ACQUISITION [Apr 02 12:19], +REVENUE_BEAT [Mar 25 19:01]"
FFAI,Short,RESISTANCE,T2-SHORT,80,0.24,0.2496,0.2112,3.0,0.0096,0.2389,0.5,CLOSE,1,1,1d,0.2496,0.24,HIGHWAY,17840838,0.3,0.7,0,26.7,40,8,,UNKNOWN,,-DELISTING_RISK [Mar 20 21:00]
RZLV,Short,RESISTANCE,T3-SHORT,80,3.415,3.43,2.899,34.4,0.015,3.0831,10.8,WAITING,1,1,1d,3.43,3.415,HIGHWAY,78005662,0.7,2.1,2,39.5,24,8,,UNKNOWN,,+ACQUISITION [Apr 02 12:00]
PSKY,Short,RESISTANCE,T3-SHORT,80,9.62,9.72,9.32,3.0,0.1,9.44,1.9,CLOSE,1,1,1d,9.72,9.62,HIGHWAY,137995480,0.4,0.8,0,9.5,24,8,,UNKNOWN,,"+ANALYST_UPGRADE [Mar 28 11:45], ~MANAGEMENT [Apr 01 11:00]"
SLDE,Short,RESISTANCE,T3-SHORT,80,18.18,18.22,17.79,9.8,0.04,18.02,0.9,CLOSE,1,1,1m,18.22,18.18,HIGHWAY,11200,0.6,0.7,0,6.3,19,8,,UNKNOWN,,"+ANALYST_UPGRADE [Feb 27 13:56], ~MANAGEMENT [Mar 23 20:15]"
TSSI,Short,RESISTANCE,T5-SHORT,22,13.63,13.67,13.22,10.3,0.04,13.59,0.3,CLOSE,1,1,1m,13.67,13.63,MIXED,800,0.2,0.6,0,26.7,40,8,,UNKNOWN,,"+ANALYST_UPGRADE [Dec 08 16:08], ~MANAGEMENT [Nov 16 09:14]"
TSSI,Long,FRESH_HOLD,T3-LONG_WATCH,10,13.22,13.19,13.63,13.7,0.03,13.59,2.7,CLOSE,1,1,1m,13.22,13.19,MIXED,3498,0.2,0.6,0,26.7,40,8,,UNKNOWN,,"+ANALYST_UPGRADE [Dec 08 16:08], ~MANAGEMENT [Nov 16 09:14]"
TSSI,Long,PULLBACK,T3-LONG_WATCH,8,12.62,12.59,13.63,33.7,0.03,13.59,7.1,WAITING,1,1,1h,12.62,12.59,MIXED,888459,0.2,0.6,0,26.7,40,8,,UNKNOWN,,"+ANALYST_UPGRADE [Dec 08 16:08], ~MANAGEMENT [Nov 16 09:14]"
DVLT,Short,RESISTANCE,T5-SHORT,20,0.6999,0.703,0.65,16.1,0.0031,0.6642,5.4,APPROACH,1,1,1h,0.703,0.6999,OPEN_ROAD,0,0.3,0.7,0,26.5,43,8,,UNKNOWN,,"+REVENUE_BEAT [Mar 29 20:53], +ACQUISITION [Mar 21 01:07]"
AIIO,Short,RESISTANCE,T3-SHORT,80,0.072,0.0795,0.0495,3.0,0.0075,0.0706,2.0,CLOSE,1,1,1d,0.0795,0.072,HIGHWAY,4551078,0.6,1.8,2,51.9,63,8,,UNKNOWN,,+ACQUISITION [Dec 12 13:03]
SXTP,Short,RESISTANCE,T5-SHORT,21,2.11,2.12,1.84,27.0,0.01,1.86,13.4,WAITING,1,1,1d,2.12,2.11,OPEN_ROAD,264963,0.0,0.1,0,47.0,85,8,,UNKNOWN,,-REVERSE_SPLIT [Jan 15 13:01]
BLND,Long,FRESH_HOLD,T3-LONG_WATCH,70,1.9798,1.955,2.09,4.4,0.0248,2.0,1.0,CLOSE,5,4,"1h,1m,30m,4h",1.9798,1.955,HIGHWAY,1253,0.3,0.8,0,29.4,46,8,,UNKNOWN,,~MANAGEMENT [Mar 10 20:00]
BLND,Short,RESISTANCE,T3-SHORT,69,2.09,2.1,1.9798,11.0,0.01,2.0,4.5,APPROACH,1,1,1d,2.1,2.09,HIGHWAY,9384907,0.3,0.8,0,29.4,46,8,,UNKNOWN,,~MANAGEMENT [Mar 10 20:00]
BLND,Long,PULLBACK,T3-LONG_WATCH,55,1.835,1.785,2.09,5.1,0.05,2.0,8.3,WAITING,8,6,"10m,15m,1h,30m,4h,5m",1.835,1.785,OPEN_ROAD,2379912,0.3,0.8,0,29.4,46,8,,UNKNOWN,,~MANAGEMENT [Mar 10 20:00]
