pick_id,day,panel,ticker,side,setup,verdict,score,score_band,entry_type,entry,stop,target,rr,auction_long_class,auction_short_class,auction_or_state,auction_or_position,auction_day_position,first_seen,last_seen,trackable,track_skip_reason,outcome,result_r,mfe_r,mae_r,current_r,fill_time,exit_time,last_px,notes
1843811730dc1785,2026-09-11,MUSTARD_RELOAD,MSTR,LONG,MUSTARD_MIXED_RESEARCH,MUSTARD_MIXED_RESEARCH,49.0,<60,LIMIT,131.1618,123.3289,132.2913,0.14,AVOID_LONG,AVOID_SHORT_CHASE,OR_BOTTOM_THIRD,0.143,0.143,2026-09-11T16:00,2026-09-11T16:00,True,,OPEN_LOSS,-0.08,0.02,-0.1,-0.08,2026-09-11T16:00:00,,130.51,Mustard reload shelf retest/reclaim candidate.
e7e85a044fa1a66a,2026-09-11,MUSTARD_RELOAD,NBIS,LONG,MUSTARD_MIXED_RESEARCH,MUSTARD_MIXED_RESEARCH,15.0,<60,LIMIT,225.0592,201.2544,227.7599,0.11,AVOID_LONG,AVOID_SHORT_CHASE,BELOW_ORL,0.0,0.075,2026-09-11T16:00,2026-09-11T16:00,True,,OPEN_LOSS,-0.02,-0.02,-0.05,-0.02,2026-09-11T16:00:00,,224.49,Mustard reload shelf retest/reclaim candidate.
70a19fdcb3ba2e10,2026-09-11,MUSTARD_RELOAD,NVDA,LONG,AVOID_STALLED_RETEST,AVOID_STALLED_RETEST,45.0,<60,LIMIT,218.7967,215.4537,219.9096,0.33,AVOID_LONG,AVOID_SHORT_CHASE,BELOW_ORL,0.0,0.029,2026-09-11T16:00,2026-09-11T16:00,True,,TARGET_HIT,0.33,0.36,-0.22,-0.16,2026-09-11T16:00:00,2026-09-11T16:01:00,218.26,Mustard reload shelf retest/reclaim candidate.
e4aa5cd0b3f8d479,2026-09-11,MUSTARD_RELOAD,PR,LONG,AVOID_STALLED_RETEST,AVOID_STALLED_RETEST,42.0,<60,LIMIT,23.8479,22.7898,23.8831,0.03,NEUTRAL,AVOID_SHORT,OR_TOP_THIRD,0.862,0.788,2026-09-11T16:00,2026-09-11T16:00,True,,OPEN_LOSS,-0.13,-0.06,-0.13,-0.13,2026-09-11T16:00:00,,23.7073,Mustard reload shelf retest/reclaim candidate.
3a750b1aab35e59a,2026-09-11,MUSTARD_RELOAD,PTEN,LONG,AVOID_STALLED_RETEST,AVOID_STALLED_RETEST,49.0,<60,LIMIT,12.8557,12.6868,12.9106,0.33,AVOID_LONG,AVOID_SHORT_CHASE,BELOW_ORL,0.0,0.0,2026-09-11T16:00,2026-09-11T16:00,True,,STOPPED,-1.0,-0.03,-1.38,-1.34,2026-09-11T16:00:00,2026-09-11T16:16:00,12.63,Mustard reload shelf retest/reclaim candidate.
e323ded70eb48d0e,2026-09-11,MUSTARD_RELOAD,RZLV,LONG,AVOID_STALLED_RETEST,AVOID_STALLED_RETEST,0.0,<60,LIMIT,2.2915,2.1978,2.319,0.29,AVOID_LONG,CONTINUATION_SHORT,BELOW_ORL,0.0,0.2,2026-09-11T16:00,2026-09-11T16:00,True,,OPEN_WIN,0.09,0.09,-0.04,0.09,2026-09-11T16:01:00,,2.3,Mustard reload shelf retest/reclaim candidate.
ade42cdda79f990f,2026-09-11,MUSTARD_RELOAD,SMCI,LONG,AVOID_STALLED_RETEST,AVOID_STALLED_RETEST,49.0,<60,LIMIT,40.0203,38.8575,40.2495,0.2,AVOID_LONG_CHASE,NEUTRAL,OR_TOP_THIRD,0.841,0.841,2026-09-11T16:00,2026-09-11T16:00,True,,OPEN_LOSS,-0.03,0.09,-0.08,-0.03,2026-09-11T16:00:00,,39.99,Mustard reload shelf retest/reclaim candidate.
8a4711228ef6d082,2026-09-11,MUSTARD_RELOAD,TE,LONG,MUSTARD_EXHAUSTED,MUSTARD_EXHAUSTED,35.0,<60,LIMIT,4.6283,4.2957,4.6838,0.17,AVOID_LONG,CONTINUATION_SHORT,BELOW_ORL,0.0,0.182,2026-09-11T16:00,2026-09-11T16:00,True,,OPEN_LOSS,-0.05,0.07,-0.09,-0.05,2026-09-11T16:00:00,,4.6101,Mustard reload shelf retest/reclaim candidate.
268f35fbc46b193b,2026-09-11,MUSTARD_RELOAD,TFC,LONG,AVOID_STALLED_RETEST,AVOID_STALLED_RETEST,45.0,<60,LIMIT,50.6511,49.797,50.579,,CONTINUATION_LONG,NEUTRAL,OR_MIDDLE,0.469,0.474,2026-09-11T16:00,2026-09-11T16:00,False,long_levels_not_stop_entry_target,NOT_TRACKABLE,,,,,,,,Mustard reload shelf retest/reclaim candidate.
498a8ba741c0ad19,2026-09-11,MUSTARD_RELOAD,TOST,LONG,AVOID_STALLED_RETEST,AVOID_STALLED_RETEST,0.0,<60,LIMIT,32.0138,30.5316,32.398,0.26,NEUTRAL,AVOID_SHORT,OR_TOP_THIRD,0.712,0.588,2026-09-11T16:00,2026-09-11T16:00,True,,OPEN_LOSS,-0.01,0.08,-0.01,-0.01,2026-09-11T16:04:00,,32.0,Mustard reload shelf retest/reclaim candidate.
d07d07a37b13050b,2026-09-11,MUSTARD_RELOAD,TREX,LONG,AVOID_STALLED_RETEST,AVOID_STALLED_RETEST,49.0,<60,LIMIT,44.95,43.56,45.4894,0.39,PULLBACK_BUY_ZONE,AVOID_SHORT,ABOVE_ORH,1.0,0.877,2026-09-11T16:00,2026-09-11T16:00,True,,OPEN_FLAT,0.0,0.0,-0.0,0.0,2026-09-11T16:00:00,,44.95,Mustard reload shelf retest/reclaim candidate.
2cadf53668e8c692,2026-09-11,MUSTARD_RELOAD,TRVI,LONG,AVOID_STALLED_RETEST,AVOID_STALLED_RETEST,11.0,<60,LIMIT,16.5931,16.2954,16.7922,0.67,AVOID_LONG,AVOID_SHORT_CHASE,BELOW_ORL,0.0,0.043,2026-09-11T16:00,2026-09-11T16:00,True,,STOPPED,-1.0,-2.33,-2.33,-2.33,2026-09-11T16:00:00,2026-09-11T16:00:00,15.9,Mustard reload shelf retest/reclaim candidate.
e110be6e5b6f1841,2026-09-11,MUSTARD_RELOAD,TSCO,LONG,AVOID_STALLED_RETEST,AVOID_STALLED_RETEST,0.0,<60,LIMIT,33.01,32.5561,33.3504,0.75,AVOID_LONG,FIRST_RALLY_SHORT_ZONE,BELOW_ORL,0.0,0.137,2026-09-11T16:00,2026-09-11T16:00,True,,OPEN_WIN,0.07,0.07,-0.02,0.07,2026-09-11T16:00:00,,33.04,Mustard reload shelf retest/reclaim candidate.
e1833d2698244d35,2026-09-11,MUSTARD_RELOAD,USB,LONG,AVOID_STALLED_RETEST,AVOID_STALLED_RETEST,49.0,<60,LIMIT,62.9657,62.1968,62.9155,,CONTINUATION_LONG,AVOID_SHORT_CHASE,OR_BOTTOM_THIRD,0.135,0.15,2026-09-11T16:00,2026-09-11T16:00,False,long_levels_not_stop_entry_target,NOT_TRACKABLE,,,,,,,,Mustard reload shelf retest/reclaim candidate.
441fe691950fb0d9,2026-09-11,MUSTARD_RELOAD,WDAY,LONG,AVOID_STALLED_RETEST,AVOID_STALLED_RETEST,48.0,<60,LIMIT,185.7,182.6847,186.395,0.23,AVOID_LONG,AVOID_SHORT_CHASE,OR_BOTTOM_THIRD,0.163,0.163,2026-09-11T16:00,2026-09-11T16:00,True,,OPEN_LOSS,-0.24,0.0,-0.27,-0.24,2026-09-11T16:00:00,,184.97,Mustard reload shelf retest/reclaim candidate.
253f33812167b177,2026-09-11,MUSTARD_RELOAD,XP,LONG,AVOID_STALLED_RETEST,AVOID_STALLED_RETEST,49.0,<60,LIMIT,19.86,19.5822,20.0683,0.75,AVOID_LONG,CONTINUATION_SHORT,BELOW_ORL,0.0,0.252,2026-09-11T16:00,2026-09-11T16:00,True,,OPEN_LOSS,-0.76,0.0,-0.76,-0.76,2026-09-11T16:00:00,,19.65,Mustard reload shelf retest/reclaim candidate.
906b129ff641655b,2026-09-11,STATE_LOOKUP,ACM,SHORT,BEAR_REJECTION_PENDING,CONVICTION,73.7,70-79,LIMIT,63.63,64.34,62.12,2.13,NEUTRAL,NEUTRAL,OR_MIDDLE,0.622,0.561,2026-09-11T04:03:17,2026-09-11T04:03:17,True,,OPEN_WIN,0.14,0.82,-0.68,0.14,2026-09-11T09:50:00,,63.53,LIMIT SHORT @ $63.63 on rally (0.8% above current $63.10). Stop $64.34. Anchor: daily 39tk bear.
d8fb77f1733c33bc,2026-09-11,STATE_LOOKUP,ACN,SHORT,BEAR_REJECTION_PENDING,CONVICTION,79.7,70-79,LIMIT,181.23,187.65,170.37,1.69,AVOID_LONG_CHASE,AVOID_SHORT,ABOVE_ORH,1.0,0.894,2026-09-11T04:02:34,2026-09-11T04:02:34,True,,OPEN_LOSS,-0.35,0.04,-0.59,-0.35,2026-09-11T13:07:00,,183.5,LIMIT SHORT @ $181.23 (2% rally cap; anchor at $184.35 too far). Stop $187.65. Anchor: weekly 238tk bear.
457bf4207a2297b9,2026-09-11,STATE_LOOKUP,ACN,LONG,BULL_BOUNCE_PENDING,CONVICTION,76.3,70-79,LIMIT,178.48,176.77,184.35,3.43,AVOID_LONG_CHASE,AVOID_SHORT,ABOVE_ORH,1.0,0.894,2026-09-11T10:35:58,2026-09-11T10:35:58,True,,NO_FILL,0.0,0.0,0.0,,,,183.5,LIMIT BUY @ $178.48 on pullback (0.3% below current $179.56). Stop $176.77. Anchor: daily 115tk.
6db94102a7462b4a,2026-09-11,STATE_LOOKUP,ARE,SHORT,BEAR_REJECTION_PENDING,CONVICTION,74.0,70-79,LIMIT,50.12,51.23,44.65,4.93,AVOID_LONG_CHASE,AVOID_SHORT,ABOVE_ORH,1.0,0.979,2026-09-11T04:03:10,2026-09-11T04:03:10,True,,OPEN_LOSS,-0.92,0.07,-0.95,-0.92,2026-09-11T12:00:00,,51.14,LIMIT SHORT @ $50.12 on rally (1.2% above current $49.53). Stop $51.23. Anchor: 15m 86tk bear.
d6fb8314a2dbb468,2026-09-11,STATE_LOOKUP,ARES,SHORT,BEAR_REJECTION_PENDING,CONVICTION,71.9,70-79,LIMIT,132.79,134.03,128.95,3.1,AVOID_LONG,AVOID_SHORT,OR_MIDDLE,0.364,0.364,2026-09-11T04:02:49,2026-09-11T04:02:49,True,,STOPPED,-1.0,2.09,-1.1,0.93,2026-09-11T09:30:00,2026-09-11T10:09:00,131.64,LIMIT SHORT @ $132.79 on rally (1.6% above current $130.65). Stop $134.03. Anchor: 4h 31tk bear.
c073701df8152e02,2026-09-11,STATE_LOOKUP,ASAN,SHORT,BEAR_REJECTION_PENDING,CONVICTION,92.6,90+,LIMIT,8.73,8.9,7.52,7.12,PULLBACK_BUY_ZONE,NEUTRAL,OR_MIDDLE,0.641,0.614,2026-09-11T04:04:03,2026-09-11T04:04:03,True,,OPEN_WIN,0.05,1.35,-0.76,0.05,2026-09-11T09:30:00,,8.7212,"LIMIT SHORT @ $8.81 on rally (1.8% above current $8.65). Stop $10.14. Anchor: daily 128tk bear. CONVICTION 93 — size may step up, still waiting for location."
131d75dbf1b70641,2026-09-11,STATE_LOOKUP,BSY,SHORT,BEAR_REJECTION_PENDING,CONVICTION,82.7,80-89,LIMIT,33.32,33.88,30.41,5.2,NEUTRAL,AVOID_SHORT,OR_TOP_THIRD,0.842,0.722,2026-09-11T04:02:51,2026-09-11T04:02:51,True,,NO_FILL,0.0,0.0,0.0,,,,31.09,LIMIT SHORT @ $33.32 on rally (0.6% above current $33.12). Stop $33.88. Anchor: weekly 40tk bear.
c9ff601fcc4d1071,2026-09-11,STATE_LOOKUP,CHTR,SHORT,BEAR_REJECTION_PENDING,CONVICTION,84.0,80-89,LIMIT,139.0,141.31,133.58,2.35,AVOID_LONG_CHASE,AVOID_SHORT,ABOVE_ORH,1.0,0.942,2026-09-11T04:02:35,2026-09-11T04:02:35,True,,STOPPED,-1.0,-0.07,-3.11,-2.93,2026-09-11T08:40:00,2026-09-11T09:30:00,145.77,LIMIT SHORT @ $139.00 on rally (0.7% above current $138.00). Stop $141.31. Anchor: 1h 125tk bear.
